time/episodes,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
660,20024,48.04,9,2107,0.5244300000000002,48.04,3755,0.0001,0.19072669744491577,,
664,20334,49.23,9,2096,0.5170674999999998,49.23,3833,0.0001,0.18772940337657928,,
668,20705,51.3,9,2093,0.5082562500000002,51.3,3926,0.0001,0.012716498225927353,,
672,21086,54.13,10,2082,0.4992075,54.13,4021,0.0001,0.4984745979309082,,
676,21421,55.76,10,2079,0.49125125000000003,55.76,4105,0.0001,0.4160460829734802,,
680,21785,57.74,10,2067,0.48260625000000035,57.74,4196,0.0001,0.5974545478820801,,
684,22081,57.79,10,2062,0.47557625000000014,57.79,4270,0.0001,0.5585675239562988,,
688,22485,59.98,10,2053,0.4659812500000001,59.98,4371,0.0001,0.47682708501815796,,
692,22785,60.38,11,2050,0.45885624999999985,60.38,4446,0.0001,0.2541565001010895,,
696,23050,60.69,11,2041,0.4525625000000002,60.69,4512,0.0001,0.24464239180088043,,
700,23505,64.5,11,2038,0.4417562500000001,64.5,4626,0.0001,0.5637822151184082,,
704,23834,66.69,11,2030,0.4339425000000001,66.69,4708,0.0001,0.5079869031906128,,
708,24469,71.16,12,2020,0.41886124999999985,71.16,4867,0.0001,0.5816050171852112,,
712,25133,76.48,12,2015,0.4030912499999999,76.48,5033,0.0001,0.4739776849746704,,
716,25703,80.29,12,2003,0.38955375000000037,80.29,5175,0.0001,0.6051468849182129,,
720,26218,83.33,13,1994,0.3773224999999999,83.33,5304,0.0001,0.22718745470046997,,
724,26926,87.07,13,1983,0.36050749999999987,87.07,5481,0.0001,0.1179615780711174,,
728,27602,91.26,13,1974,0.3444525000000003,91.26,5650,0.0001,0.29297706484794617,,
732,27967,93.35,14,1973,0.3357837500000004,93.35,5741,0.0001,0.7270013093948364,,
736,28689,99.13,14,1965,0.31863624999999995,99.13,5922,0.0001,0.5255945324897766,,
740,29774,108.6,15,1942,0.29286749999999984,108.6,6193,0.0001,0.3736918568611145,,
,30000,,,,0.2875237500000001,,6249,0.0001,0.4332484006881714,313.8,313.8
744,30525,115.01,16,1898,0.27503125000000006,115.01,6381,0.0001,0.15267616510391235,,
748,31003,118.29,16,1897,0.26367874999999996,118.29,6500,0.0001,1.0887905359268188,,
752,31737,122.66,16,1891,0.24624625000000022,122.66,6684,0.0001,0.6848324537277222,,
756,32569,129.13,17,1885,0.22648625,129.13,6892,0.0001,0.4224533438682556,,
760,33444,134.2,17,1874,0.20570499999999992,134.2,7110,0.0001,0.31078773736953735,,
764,34274,139.4,18,1868,0.1859925,139.4,7318,0.0001,0.80478435754776,,
768,35032,143.27,18,1863,0.1679900000000002,143.27,7507,0.0001,0.2198541760444641,,
772,35963,148.77,19,1857,0.14587874999999983,148.77,7740,0.0001,0.4027867317199707,,
776,37111,156.9,20,1848,0.11861374999999996,156.9,8027,0.0001,0.5994454026222229,,
780,37945,161.6,20,1843,0.09880624999999987,161.6,8236,0.0001,0.5835685729980469,,
784,38727,166.46,21,1838,0.0802337500000001,166.46,8431,0.0001,0.35669857263565063,,
788,39564,170.79,21,1835,0.06035500000000016,170.79,8640,0.0001,0.5468084216117859,,
,40000,,,,0.05002374999999992,,8749,0.0001,1.5614852905273438,188.0,188.0
792,40305,175.2,22,1823,0.05,175.2,8826,0.0001,0.5744125843048096,,
796,41093,180.43,22,1819,0.05,180.43,9023,0.0001,0.3863970637321472,,
800,41822,183.17,23,1817,0.05,183.17,9205,0.0001,0.15781791508197784,,
804,42583,187.49,23,1814,0.05,187.49,9395,0.0001,0.6507985591888428,,
808,43284,188.15,23,1810,0.05,188.15,9570,0.0001,0.6408221125602722,,
812,44013,188.8,24,1806,0.05,188.8,9753,0.0001,0.5718895196914673,,
816,44802,190.99,24,1802,0.05,190.99,9950,0.0001,0.15667273104190826,,
820,45490,192.72,25,1800,0.05,192.72,10122,0.0001,0.26765647530555725,,
824,46119,191.93,25,1797,0.05,191.93,10279,0.0001,0.33469516038894653,,
828,46748,191.46,26,1794,0.05,191.46,10436,0.0001,0.7334607243537903,,
832,47382,194.15,26,1791,0.05,194.15,10595,0.0001,0.5256618857383728,,
836,48035,193.46,26,1786,0.05,193.46,10758,0.0001,0.6836351156234741,,
840,48544,187.7,27,1784,0.05,187.7,10885,0.0001,0.9581726789474487,,
844,49179,186.54,27,1782,0.05,186.54,11044,0.0001,0.4312039315700531,,
848,49815,188.12,28,1775,0.05,188.12,11203,0.0001,0.5020619034767151,,
,50000,,,,0.05,,11249,0.0001,0.011600218713283539,156.6,156.6
852,50430,186.93,28,1767,0.05,186.93,11357,0.0001,0.5915391445159912,,
856,51028,184.59,28,1766,0.05,184.59,11506,0.0001,1.2213799953460693,,
860,51602,181.58,29,1766,0.05,181.58,11650,0.0001,0.8657288551330566,,
864,52189,179.15,29,1765,0.05,179.15,11797,0.0001,0.22500860691070557,,
868,52637,176.05,29,1765,0.05,176.05,11909,0.0001,0.7353131771087646,,
872,53262,172.99,30,1764,0.05,172.99,12065,0.0001,0.5011315941810608,,
876,53714,166.03,30,1763,0.05,166.03,12178,0.0001,0.9601907134056091,,
880,54333,163.88,30,1764,0.05,163.88,12333,0.0001,1.4260481595993042,,
884,54906,161.79,31,1763,0.05,161.79,12476,0.0001,0.012105932459235191,,
888,55492,159.28,31,1762,0.05,159.28,12622,0.0001,0.3102876543998718,,
892,56071,157.66,31,1762,0.05,157.66,12767,0.0001,1.797863245010376,,
896,56618,155.25,32,1760,0.05,155.25,12904,0.0001,0.3063715100288391,,
900,57177,153.55,32,1759,0.05,153.55,13044,0.0001,0.8707366585731506,,
904,57695,151.12,32,1760,0.05,151.12,13173,0.0001,0.2846185564994812,,
908,58238,149.54,33,1759,0.05,149.54,13309,0.0001,0.8937113285064697,,
912,58769,147.56,33,1758,0.05,147.56,13442,0.0001,0.8634074330329895,,
916,59287,144.85,33,1759,0.05,144.85,13571,0.0001,0.4392201900482178,,
920,59800,143.1,34,1758,0.05,143.1,13699,0.0001,0.5657543540000916,,
,60000,,,,0.05,,13749,0.0001,0.6368763446807861,134.4,134.4
924,60325,142.06,34,1752,0.05,142.06,13831,0.0001,0.5922508239746094,,
928,60852,141.04,34,1751,0.05,141.04,13962,0.0001,0.8858535885810852,,
932,61295,139.13,34,1751,0.05,139.13,14073,0.0001,0.5309662818908691,,
936,61840,138.05,35,1750,0.05,138.05,14209,0.0001,0.2779092490673065,,
940,62362,138.18,35,1749,0.05,138.18,14340,0.0001,1.3688979148864746,,
944,62896,137.17,35,1749,0.05,137.17,14473,0.0001,1.3862757682800293,,
948,63416,136.01,36,1748,0.05,136.01,14603,0.0001,0.5354166030883789,,
952,63940,135.1,36,1749,0.05,135.1,14734,0.0001,0.29551321268081665,,
956,64477,134.49,36,1748,0.05,134.49,14869,0.0001,0.5204477906227112,,
960,64995,133.93,37,1747,0.05,133.93,14998,0.0001,0.7498503923416138,,
964,65418,132.29,37,1748,0.05,132.29,15104,0.0001,0.012443807907402515,,
968,65941,133.04,37,1747,0.05,133.04,15235,0.0001,0.7041445970535278,,
972,66492,132.3,38,1748,0.05,132.3,15372,0.0001,0.7420302629470825,,
976,67008,132.94,38,1747,0.05,132.94,15501,0.0001,1.0274341106414795,,
980,67541,132.08,38,1746,0.05,132.08,15635,0.0001,0.3285602331161499,,
984,68067,131.61,38,1747,0.05,131.61,15766,0.0001,0.01373568270355463,,
988,68574,130.82,39,1746,0.05,130.82,15893,0.0001,0.2906751334667206,,
992,68963,128.92,39,1746,0.05,128.92,15990,0.0001,0.5610266923904419,,
996,69459,128.41,39,1746,0.05,128.41,16114,0.0001,0.2566528916358948,,
1000,69960,127.83,40,1745,0.05,127.83,16239,0.0001,0.5428999662399292,,
,70000,,,,0.05,,16249,0.0001,0.8081477880477905,129.4,129.4
1004,70363,126.68,40,1742,0.05,126.68,16340,0.0001,0.9763250946998596,,
1008,70884,126.46,40,1741,0.05,126.46,16470,0.0001,0.6871187686920166,,
1012,71392,126.23,41,1739,0.05,126.23,16597,0.0001,0.2999039590358734,,
1016,71929,126.42,41,1740,0.05,126.42,16732,0.0001,0.025529751554131508,,
1020,72434,126.34,41,1739,0.05,126.34,16858,0.0001,1.7223217487335205,,
1024,72948,126.23,41,1738,0.05,126.23,16986,0.0001,1.0919426679611206,,
1028,73487,126.35,42,1737,0.05,126.35,17121,0.0001,0.7579628825187683,,
1032,74031,127.36,42,1737,0.05,127.36,17257,0.0001,0.39442670345306396,,
1036,74456,126.16,42,1736,0.05,126.16,17363,0.0001,0.2847016751766205,,
1040,74984,126.22,43,1735,0.05,126.22,17495,0.0001,0.009615588933229446,,
1044,75519,126.23,43,1736,0.05,126.23,17629,0.0001,0.2857406437397003,,
1048,76055,126.39,43,1734,0.05,126.39,17763,0.0001,0.7072542309761047,,
1052,76561,126.21,44,1733,0.05,126.21,17890,0.0001,0.8787896037101746,,
1056,77068,125.91,44,1731,0.05,125.91,18016,0.0001,1.1166038513183594,,
1060,77583,125.88,44,1730,0.05,125.88,18145,0.0001,0.6703263521194458,,
1064,78108,126.9,45,1729,0.05,126.9,18276,0.0001,0.015810851007699966,,
1068,78647,127.06,45,1729,0.05,127.06,18411,0.0001,0.00778032885864377,,
1072,79160,126.68,45,1728,0.05,126.68,18539,0.0001,0.3280736804008484,,
1076,79700,126.92,46,1727,0.05,126.92,18674,0.0001,0.01277497410774231,,
,80000,,,,0.05,,18749,0.0001,0.29101133346557617,131.8,131.8
1080,80287,127.46,46,1723,0.05,127.46,18821,0.0001,0.28952154517173767,,
1084,80815,127.48,46,1723,0.05,127.48,18953,0.0001,0.4334790110588074,,
1088,81345,127.71,47,1723,0.05,127.71,19086,0.0001,0.960283100605011,,
1092,81899,129.36,47,1722,0.05,129.36,19224,0.0001,0.007034163922071457,,
1096,82472,130.13,47,1722,0.05,130.13,19367,0.0001,0.008832697756588459,,
1100,83013,130.53,48,1721,0.05,130.53,19503,0.0001,0.8811399340629578,,
1104,83570,132.07,48,1721,0.05,132.07,19642,0.0001,0.29368793964385986,,
1108,83954,130.7,48,1720,0.05,130.7,19738,0.0001,0.27741488814353943,,
1112,84427,130.35,49,1721,0.05,130.35,19856,0.0001,0.4498107135295868,,
1116,84905,129.76,49,1720,0.05,129.76,19976,0.0001,0.6802762746810913,,
1120,85387,129.53,49,1719,0.05,129.53,20096,0.0001,0.6510811448097229,,
1124,85841,128.93,49,1719,0.05,128.93,20210,0.0001,0.8836817741394043,,
1128,86304,128.17,50,1719,0.05,128.17,20325,0.0001,0.9130913615226746,,
1132,86753,127.22,50,1719,0.05,127.22,20438,0.0001,0.26006433367729187,,
1136,87215,127.59,50,1718,0.05,127.59,20553,0.0001,0.4469871520996094,,
1140,87682,126.98,51,1717,0.05,126.98,20670,0.0001,1.756480097770691,,
1144,88140,126.21,51,1717,0.05,126.21,20784,0.0001,0.6706933975219727,,
1148,88587,125.32,51,1717,0.05,125.32,20896,0.0001,0.4350705146789551,,
1152,89040,124.79,51,1716,0.05,124.79,21009,0.0001,0.8183878660202026,,
1156,89490,124.22,52,1715,0.05,124.22,21122,0.0001,0.27121710777282715,,
1160,89956,123.73,52,1716,0.05,123.73,21238,0.0001,0.6935819983482361,,
,90000,,,,0.05,,21249,0.0001,0.7477497458457947,113.2,113.2
1164,90415,123.07,52,1713,0.05,123.07,21353,0.0001,0.4366301894187927,,
1168,90870,122.23,53,1712,0.05,122.23,21467,0.0001,0.342000275850296,,
1172,91233,120.73,53,1712,0.05,120.73,21558,0.0001,0.32608723640441895,,
1176,91682,119.82,53,1712,0.05,119.82,21670,0.0001,0.008969372138381004,,
1180,92146,118.59,53,1712,0.05,118.59,21786,0.0001,0.5212348103523254,,
1184,92601,117.86,54,1711,0.05,117.86,21900,0.0001,1.5411677360534668,,
1188,93071,117.26,54,1710,0.05,117.26,22017,0.0001,0.5967231392860413,,
1192,93525,116.26,54,1711,0.05,116.26,22131,0.0001,0.4356901943683624,,
1196,93999,115.27,54,1711,0.05,115.27,22249,0.0001,0.7286582589149475,,
1200,94464,114.51,55,1711,0.05,114.51,22365,0.0001,1.0702284574508667,,
1204,94930,113.6,55,1710,0.05,113.6,22482,0.0001,0.4391433894634247,,
1208,95385,114.31,55,1709,0.05,114.31,22596,0.0001,0.830203115940094,,
1212,95862,114.35,56,1710,0.05,114.35,22715,0.0001,0.47891736030578613,,
1216,96342,114.37,56,1709,0.05,114.37,22835,0.0001,0.5159813761711121,,
1220,96808,114.21,56,1708,0.05,114.21,22951,0.0001,0.3357584774494171,,
1224,97273,114.32,56,1709,0.05,114.32,23068,0.0001,0.026181664317846298,,
1228,97736,114.32,57,1708,0.05,114.32,23183,0.0001,0.02776896394789219,,
1232,98196,114.43,57,1708,0.05,114.43,23298,0.0001,0.013584524393081665,,
1236,98649,114.34,57,1707,0.05,114.34,23412,0.0001,0.6324763298034668,,
1240,99121,114.39,58,1707,0.05,114.39,23530,0.0001,0.5278969407081604,,
1244,99599,114.59,58,1706,0.05,114.59,23649,0.0001,0.3459010720252991,,
,100000,,,,0.05,,23749,0.0001,0.7287461757659912,113.0,113.0
1248,100061,114.74,58,1703,0.05,114.74,23765,0.0001,0.4668921232223511,,
1252,100526,114.86,58,1704,0.05,114.86,23881,0.0001,0.5308653712272644,,
1256,100990,115.0,59,1703,0.05,115.0,23997,0.0001,0.9062469601631165,,
1260,101455,114.99,59,1703,0.05,114.99,24113,0.0001,0.6622470021247864,,
1264,101920,115.05,59,1703,0.05,115.05,24229,0.0001,0.00986381247639656,,
1268,102386,115.16,60,1703,0.05,115.16,24346,0.0001,0.032161761075258255,,
1272,102846,116.13,60,1703,0.05,116.13,24461,0.0001,0.17103688418865204,,
1276,103295,116.13,60,1703,0.05,116.13,24573,0.0001,0.15609699487686157,,
