rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/clip_range,train/loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/std,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
200.0,46,94208,35,2636,-1074.6711005,0.2,910.9842529296875,0.004509307,0.029541015625,-0.001726773622795008,2045.2252704620362,0.0003,450,2.3245811462402344e-06,0.9064422845840454,-1.3245375845581293,,
,,95000,,,,0.2,713.2359008789062,0.00427532,0.034619140625,-0.0021258643464534543,1547.097838973999,0.0003,460,2.5033950805664062e-06,0.8850170373916626,-1.3087309908121825,200.0,-1209.9165823400022
200.0,47,96256,36,2629,-1072.41805511,,,,,,,,,,,,,
200.0,48,98304,37,2632,-1074.7934470300002,0.2,732.8910522460938,0.0062481724,0.068505859375,-0.005591626919340342,1296.4615514755249,0.0003,470,2.7418136596679688e-06,0.8862452507019043,-1.2957332395017147,,
,,100000,,,,0.2,816.3875732421875,0.005107905,0.042236328125,-0.002917140866338741,1575.9038848876953,0.0003,480,2.1457672119140625e-06,0.9073899388313293,-1.30998093187809,200.0,-880.8448355265893
200.0,49,100352,38,2626,-1066.41157268,,,,,,,,,,,,,
200.0,50,102400,38,2629,-1058.41942621,0.2,630.8320922851562,0.0042333216,0.0421875,-0.0043498329818248745,1409.2666063308716,0.0003,490,1.7285346984863281e-06,0.8789036870002747,-1.3047059707343578,,
200.0,51,104448,39,2631,-1046.7382115699997,0.2,690.8154907226562,0.0029240781,0.0244140625,-0.002431591921776999,1304.5859481811524,0.0003,500,1.6093254089355469e-06,0.8600573539733887,-1.2772428095340729,,
,,105000,,,,0.2,440.5594177246094,0.0027931887,0.02890625,-0.0014279737937613391,1070.7567525863647,0.0003,510,1.6689300537109375e-06,0.8534550666809082,-1.2633950915187597,200.0,-1031.0179863363505
200.0,52,106496,40,2625,-1045.78229287,,,,,,,,,,,,,
200.0,53,108544,41,2626,-1032.38077482,0.2,515.9345703125,0.004364809,0.046484375,-0.004082925099646672,1078.2931507110595,0.0003,520,1.430511474609375e-06,0.846196174621582,-1.25780414827168,,
,,110000,,,,0.2,575.925537109375,0.0039712014,0.018310546875,-0.0005618110721115954,1051.7790227890014,0.0003,530,1.4901161193847656e-06,0.8567943572998047,-1.2585628364235162,200.0,-948.0852837629616
200.0,54,110592,42,2619,-1027.21768711,,,,,,,,,,,,,
200.0,55,112640,43,2617,-1016.6157342800001,0.2,489.8670654296875,0.0024305326,0.01591796875,-0.0010997176650562324,984.1425231933594,0.0003,540,1.430511474609375e-06,0.8597198128700256,-1.2667537253350019,,
200.0,56,114688,43,2618,-1010.7539628,0.2,324.9485778808594,0.004271319,0.03681640625,-0.0017050841910531745,895.2230325698853,0.0003,550,2.1457672119140625e-06,0.8639740347862244,-1.2693752024322749,,
,,115000,,,,0.2,495.1808776855469,0.005042857,0.046044921875,-0.0013279539212817325,1022.4588459014892,0.0003,560,2.205371856689453e-06,0.8550592660903931,-1.2664780009537935,200.0,-1006.1067945249379
200.0,57,116736,44,2612,-1008.2095694200001,,,,,,,,,,,,,
200.0,58,118784,45,2608,-991.9414566899999,0.2,410.4327697753906,0.0038291207,0.039599609375,-0.002886403641605284,808.645783996582,0.0003,570,2.5033950805664062e-06,0.8523120284080505,-1.26026711165905,,
,,120000,,,,0.2,311.398681640625,0.005467045,0.0708984375,0.00020619304850697518,621.281283569336,0.0003,580,2.205371856689453e-06,0.8523815274238586,-1.257803139463067,200.0,-900.671795168519
200.0,59,120832,46,2602,-982.6524241200001,,,,,,,,,,,,,
