rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,train/n_updates,train/loss,train/learning_rate
-128.33271225999997,23117,7,0.8627428125,3233,244,96.99,3279,0.8687583208084106,0.00025
-127.84402878,23510,7,0.8604093749999999,3209,248,98.09,3377,5.3634257316589355,0.00025
-126.97196039000002,23912,7,0.8580225000000001,3186,252,99.06,3477,0.9748086929321289,0.00025
-123.05651162,24329,7,0.8555465625,3148,256,99.26,3582,1.822116494178772,0.00025
-121.96455766999999,24772,7,0.8529162499999999,3113,260,100.7,3692,2.2285475730895996,0.00025
-122.45973692000001,25139,8,0.8507371875000002,3082,264,100.07,3784,1.496154546737671,0.00025
-118.37540513,25532,8,0.8484037499999999,3061,268,100.36,3882,0.6953213214874268,0.00025
-114.87246224000002,26037,8,0.8454053125000001,3039,272,100.82,4009,3.86488676071167,0.00025
-111.23144282999998,26491,8,0.8427096875,3021,276,101.54,4122,1.0630781650543213,0.00025
-111.65533788,26900,8,0.84028125,3002,280,101.88,4224,0.2607421576976776,0.00025
-114.98258052999999,27366,9,0.837514375,2987,284,103.17,4341,1.0325207710266113,0.00025
-116.40619645999999,27806,9,0.834901875,2965,288,103.06,4451,0.8808720707893372,0.00025
-110.33872376000004,29052,9,0.8275037500000001,2909,292,111.1,4762,1.2806841135025024,0.00025
-109.71098159000002,29486,10,0.8249268750000001,2894,296,112.04,4871,0.7846955060958862,0.00025
-111.8049816,29907,10,0.8224271875,2879,300,112.0,4976,0.4919193387031555,0.00025
-110.60419965000001,30284,10,0.8201887500000001,2868,304,111.91,5070,1.1491118669509888,0.00025
-109.99715577999997,30659,10,0.8179621875,2857,308,111.66,5164,2.1875967979431152,0.00025
-107.00405132999998,31045,10,0.8156703125000001,2837,312,111.85,5261,0.868679404258728,0.00025
-105.47455236999998,31471,11,0.8131409375000002,2820,316,112.68,5367,1.173282504081726,0.00025
-106.8473189,31846,11,0.8109143750000001,2811,320,111.92,5461,1.3342368602752686,0.00025
-103.91607211000002,32195,11,0.8088421874999999,2803,324,111.06,5548,0.8988613486289978,0.00025
-102.52729221,32535,11,0.8068234375000001,2787,328,110.52,5633,2.4327950477600098,0.00025
-101.91442135,32881,11,0.8047690625000001,2780,332,110.53,5720,0.5253017544746399,0.00025
-100.75919949999998,33236,12,0.80266125,2766,336,110.66,5808,0.7039631009101868,0.00025
-100.48267668999999,33693,12,0.7999478124999999,2740,340,110.68,5923,0.9548547267913818,0.00025
-99.44540232000001,34128,12,0.7973650000000001,2724,344,110.11,6031,2.7263176441192627,0.00025
-98.03629181000001,34567,12,0.7947584374999999,2707,348,110.57,6141,0.6087585091590881,0.00025
-96.30344896999999,34987,12,0.7922646874999999,2699,352,110.75,6246,1.0058282613754272,0.00025
-95.85844029000002,35369,13,0.7899965625,2690,356,110.4,6342,0.9916504621505737,0.00025
-96.88723644000001,35712,13,0.78796,2685,360,109.4,6427,1.417721152305603,0.00025
-96.29422547,36112,13,0.785585,2673,364,109.73,6527,4.066910743713379,0.00025
-96.71237062,36518,13,0.783174375,2666,368,109.86,6629,0.4980398714542389,0.00025
-96.1258932,36845,13,0.7812328124999999,2660,372,108.08,6711,1.6437005996704102,0.00025
-95.21392232,37225,14,0.7789765624999999,2653,376,107.34,6806,0.5961061120033264,0.00025
-92.02796944999999,37645,14,0.7764828125,2647,380,107.45,6911,6.698969841003418,0.00025
-86.18161390000002,38003,14,0.7743571874999999,2638,384,106.37,7000,3.1345314979553223,0.00025
-83.9288807,38424,14,0.7718574999999999,2633,388,106.18,7105,2.142162799835205,0.00025
-84.54855712999999,38848,14,0.76934,2628,392,97.96,7211,0.8441181778907776,0.00025
-84.35343684,39277,14,0.7667928125,2622,396,97.91,7319,0.9943998456001282,0.00025
-81.8644633,39627,15,0.7647146875000002,2613,400,97.2,7406,1.1155047416687012,0.00025
-81.02902825,39999,15,0.7625059375000001,2608,404,97.15,7499,1.829433560371399,0.00025
-79.13521277,40454,15,0.7598043750000001,2603,408,97.95,7613,1.6794160604476929,0.00025
-77.54387063,40810,15,0.757690625,2598,412,97.65,7702,0.37581866979599,0.00025
-76.89911592,41099,15,0.7559746875,2595,416,96.28,7774,0.9300664067268372,0.00025
-75.70063155000001,41423,16,0.7540509375000001,2586,420,95.77,7855,0.4243752658367157,0.00025
-76.14586141,41755,16,0.7520796875000001,2583,424,95.6,7938,0.7965524196624756,0.00025
-76.73132426000001,42156,16,0.7496987500000001,2578,428,96.21,8038,8.452908515930176,0.00025
-77.37856064,42523,16,0.7475196875000001,2573,432,96.42,8130,0.34227946400642395,0.00025
-77.39002259,42851,16,0.7455721874999999,2570,436,96.15,8212,2.315922737121582,0.00025
-75.64230714,43281,16,0.7430190625,2562,440,95.88,8320,3.062873601913452,0.00025
-76.69749022,43670,17,0.740709375,2557,444,95.42,8417,0.5815244913101196,0.00025
-77.47229893000001,44156,17,0.73782375,2553,448,95.89,8538,0.5489856004714966,0.00025
-77.24071232,44615,17,0.7350984375000001,2549,452,96.28,8653,0.9276687502861023,0.00025
-76.58697579999999,45004,17,0.7327887500000001,2541,456,96.35,8750,0.9387385845184326,0.00025
-75.89723604999999,45418,17,0.730330625,2538,460,97.06,8854,0.7900031805038452,0.00025
-75.62617456,45821,18,0.7279378124999999,2534,464,97.09,8955,1.6277130842208862,0.00025
-75.27370541,46223,18,0.7255509375,2531,468,97.05,9055,1.0703542232513428,0.00025
-75.69883603,46675,18,0.7228671874999999,2527,472,98.3,9168,2.134063243865967,0.00025
-74.72405713,46998,18,0.720949375,2520,476,97.73,9249,0.4407334625720978,0.00025
-74.65102345,47463,18,0.7181884375,2516,480,98.18,9365,0.802056074142456,0.00025
-73.93024842000001,47892,19,0.71564125,2512,484,98.89,9472,0.2579655051231384,0.00025
-73.26183239000001,48301,19,0.7132128124999999,2509,488,98.77,9575,2.3100368976593018,0.00025
-73.97105689000001,48709,19,0.7107903124999999,2503,492,98.61,9677,0.34040069580078125,0.00025
-75.13902031999999,49126,19,0.708314375,2500,496,98.49,9781,1.323746919631958,0.00025
-75.06040532000002,49478,19,0.706224375,2497,500,98.51,9869,0.3269719183444977,0.00025
-74.54600889,49837,19,0.7040928125000001,2495,504,98.38,9959,2.5248756408691406,0.00025
-74.89256252999999,50337,20,0.7011240625000001,2488,508,98.83,10084,12.001235008239746,0.00025
-76.56296335,50718,20,0.6988618750000001,2485,512,99.08,10179,1.2250635623931885,0.00025
-76.77349422,51093,20,0.6966353125,2482,516,99.94,10273,1.019073247909546,0.00025
-76.52435480999999,51485,20,0.6943078125,2478,520,100.62,10371,0.7164102792739868,0.00025
-75.34739598000002,51812,20,0.69236625,2476,524,100.57,10452,0.8382241725921631,0.00025
-75.18910960000001,52212,21,0.68999125,2470,528,100.56,10552,1.314434289932251,0.00025
-72.76489636000002,52558,21,0.6879368749999999,2467,532,100.35,10639,3.2777206897735596,0.00025
-71.16462438,52963,21,0.6855321875,2465,536,101.12,10740,1.2148557901382446,0.00025
-71.79970322000001,53420,21,0.6828187499999998,2462,540,101.39,10854,1.159305453300476,0.00025
-70.65824692,53796,21,0.68058625,2457,544,101.26,10948,0.5586504936218262,0.00025
-69.98581041999999,54177,22,0.6783240625,2454,548,100.21,11044,0.41493988037109375,0.00025
-69.09220094999999,54542,22,0.676156875,2451,552,99.27,11135,0.9078506827354431,0.00025
-68.58531828000001,54837,22,0.6744053124999998,2449,556,98.33,11209,4.566214084625244,0.00025
-68.58291615000002,55230,22,0.6720718750000002,2446,560,98.12,11307,1.326172113418579,0.00025
-68.75566878000001,55576,22,0.6700174999999999,2442,564,97.55,11393,0.6490903496742249,0.00025
-68.91282365,55969,22,0.6676840625000001,2439,568,97.46,11492,2.591099500656128,0.00025
-67.59725176,56342,23,0.6654693750000003,2436,572,96.67,11585,2.0601918697357178,0.00025
-67.39044102,56790,23,0.6628093750000001,2433,576,97.92,11697,1.4743461608886719,0.00025
-67.13079428,57160,23,0.6606125,2428,580,96.97,11789,1.0258668661117554,0.00025
-68.17960122000001,57529,23,0.6584215625000001,2426,584,96.37,11882,1.2483069896697998,0.00025
-68.71526704,57932,23,0.6560287499999999,2423,588,96.31,11982,0.4214310646057129,0.00025
-68.40331097,58349,24,0.6535528125000001,2420,592,96.4,12087,0.3629699945449829,0.00025
-65.56487633,58839,24,0.6506434375000001,2414,596,97.13,12209,0.7535417675971985,0.00025
-65.94067705000002,59190,24,0.648559375,2412,600,97.12,12297,0.7884521484375,0.00025
-66.61285430000001,59542,24,0.6464693750000001,2409,604,97.05,12385,1.7963829040527344,0.00025
-65.17467214,59965,24,0.6439578125000001,2407,608,96.28,12491,0.8856191039085388,0.00025
-63.62167293000002,60367,25,0.6415709374999999,2405,612,96.49,12591,0.8513551354408264,0.00025
-63.486402080000005,60831,25,0.6388159375000001,2400,616,97.38,12707,1.8358964920043945,0.00025
-62.34736244,61280,25,0.63615,2398,620,97.95,12819,0.6304889917373657,0.00025
-61.21288776,61724,25,0.6335137500000002,2396,624,99.12,12930,0.6917944550514221,0.00025
-59.527348030000006,62120,25,0.6311625000000001,2395,628,99.08,13029,2.0546865463256836,0.00025
-60.02782936,62467,26,0.6291021875,2391,632,99.09,13116,1.2905889749526978,0.00025
-59.63605588,62843,26,0.6268696875000002,2389,636,98.8,13210,0.36042308807373047,0.00025
-59.73822489,63323,26,0.6240196874999999,2387,640,99.03,13330,0.7955111265182495,0.00025
-58.47492071999999,63689,26,0.6218465624999999,2384,644,98.93,13422,1.2780766487121582,0.00025
