time/total_timesteps,train/n_updates,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,time/episodes,train/learning_rate,time/fps,train/ent_coef,train/critic_loss,eval/mean_reward,eval/mean_ep_length
564000,563899,5136,-0.48491594195365906,1813.2368750599999,1000.0,-146.53662109375,564,0.0003,109,0.043515726923942566,0.7306327819824219,,
568000,567899,5172,0.5069169402122498,1815.0866942900002,1000.0,-146.2252197265625,568,0.0003,109,0.042617954313755035,0.8503037691116333,,
572000,571899,5209,0.06708577275276184,1817.86203798,1000.0,-146.04637145996094,572,0.0003,109,0.04167812317609787,0.7474815845489502,,
576000,575899,5246,0.18464621901512146,1819.2227909199999,1000.0,-146.90513610839844,576,0.0003,109,0.04215910658240318,0.8671246767044067,,
580000,579899,,0.13736192882061005,,,-147.1309051513672,,0.0003,,0.04225616529583931,0.900380551815033,1960.9655936764962,1000.0
580000,,5285,,1820.8870252800002,1000.0,,580,,109,,,,
584000,583899,5323,0.3033062517642975,1823.0112454400003,1000.0,-147.88916015625,584,0.0003,109,0.04181122034788132,0.7912828922271729,,
588000,587899,5361,-0.47905662655830383,1824.8338101499999,1000.0,-147.76918029785156,588,0.0003,109,0.042979490011930466,0.5823354721069336,,
592000,591899,5399,0.11743119359016418,1826.6346415100002,1000.0,-148.16400146484375,592,0.0003,109,0.0427866131067276,0.5327168703079224,,
596000,595899,5438,0.3880821764469147,1828.4025634299999,1000.0,-148.3110809326172,596,0.0003,109,0.04289428889751434,0.6644644737243652,,
600000,599899,,-0.25318437814712524,,,-148.6859893798828,,0.0003,,0.042356859892606735,0.515159547328949,1922.0977032887372,1000.0
600000,,5477,,1831.1215369400002,1000.0,,600,,109,,,,
604000,603899,5514,-1.3035428524017334,1833.3137690499998,1000.0,-148.60623168945312,604,0.0003,109,0.04311724752187729,0.6234034895896912,,
608000,607899,5551,0.8955626487731934,1834.7149793700003,1000.0,-148.65452575683594,608,0.0003,109,0.042291078716516495,0.6656852960586548,,
612000,611899,5588,-1.1259303092956543,1836.2654444600003,1000.0,-149.03887939453125,612,0.0003,109,0.04349297285079956,0.7990032434463501,,
616000,615899,5625,-2.323915719985962,1838.05142548,1000.0,-148.19361877441406,616,0.0003,109,0.0430443212389946,0.8470903635025024,,
620000,619899,,1.0169037580490112,,,-149.52088928222656,,0.0003,,0.042116429656744,0.664963960647583,1956.2444919110596,1000.0
620000,,5664,,1839.7528406699994,1000.0,,620,,109,,,,
624000,623899,5704,-0.0076712965965271,1841.34508882,1000.0,-149.88357543945312,624,0.0003,109,0.04239172488451004,0.6437065601348877,,
628000,627899,5742,0.9061346650123596,1843.6413406599997,1000.0,-150.16738891601562,628,0.0003,109,0.04247639328241348,0.6482528448104858,,
632000,631899,5776,0.6210300326347351,1845.9050138100001,1000.0,-150.39605712890625,632,0.0003,109,0.04215299338102341,0.5197165012359619,,
636000,635899,5811,-0.48809319734573364,1847.7182482100002,1000.0,-150.39244079589844,636,0.0003,109,0.0421753004193306,0.6785210371017456,,
640000,639899,,0.517375111579895,,,-150.58726501464844,,0.0003,,0.04290713369846344,0.5723339915275574,1975.852837403759,1000.0
640000,,5847,,1849.6334195700003,1000.0,,640,,109,,,,
644000,643899,5881,-0.028130561113357544,1861.81309939,1000.0,-150.63284301757812,644,0.0003,109,0.041989706456661224,0.509456217288971,,
648000,647899,5916,1.1783603429794312,1863.7141268200003,1000.0,-151.82322692871094,648,0.0003,109,0.04195719212293625,0.6637168526649475,,
652000,651899,5950,-0.507621169090271,1865.3713762,1000.0,-151.33944702148438,652,0.0003,109,0.042010314762592316,0.7708499431610107,,
656000,655899,5985,0.7591686248779297,1866.81501942,1000.0,-151.8017120361328,656,0.0003,109,0.04205140098929405,0.4941426217556,,
660000,659899,,-1.1913117170333862,,,-150.77084350585938,,0.0003,,0.042735759168863297,0.7441504597663879,1988.7412807638757,1000.0
660000,,6020,,1867.94444051,1000.0,,660,,109,,,,
664000,663899,6055,-1.094282627105713,1869.82891935,1000.0,-151.90638732910156,664,0.0003,109,0.04247957468032837,0.549083948135376,,
668000,667899,6089,-0.64461350440979,1871.92385643,1000.0,-152.10958862304688,668,0.0003,109,0.04252123832702637,0.5524195432662964,,
672000,671899,6124,-0.6149815320968628,1872.7097334199998,1000.0,-152.1677703857422,672,0.0003,109,0.04237419366836548,0.7042737007141113,,
676000,675899,6158,0.8943920731544495,1875.2586695199998,1000.0,-151.96633911132812,676,0.0003,109,0.04284478724002838,0.7475064992904663,,
680000,679899,,0.9218176603317261,,,-152.27394104003906,,0.0003,,0.04302331805229187,0.6431159973144531,1946.9074019880384,1000.0
680000,,6193,,1876.5686407599999,1000.0,,680,,109,,,,
684000,683899,6228,-0.03806743770837784,1878.0720615900002,1000.0,-152.578857421875,684,0.0003,109,0.042218130081892014,0.5184910893440247,,
688000,687899,6263,-1.0581080913543701,1879.9615180600001,1000.0,-152.11517333984375,688,0.0003,109,0.04234080761671066,0.7550479173660278,,
692000,691899,6298,-1.5079258680343628,1881.9889755299998,1000.0,-153.31887817382812,692,0.0003,109,0.042384255677461624,0.8776301145553589,,
696000,695899,6334,-0.012015670537948608,1883.6582793100001,1000.0,-153.43992614746094,696,0.0003,109,0.04220391809940338,0.6749070882797241,,
700000,699899,,0.1523997187614441,,,-153.2791748046875,,0.0003,,0.04233134910464287,1.0436489582061768,1991.646869234764,1000.0
700000,,6370,,1884.5332903600001,1000.0,,700,,109,,,,
704000,703899,6406,-0.30875831842422485,1886.24362274,1000.0,-153.24554443359375,704,0.0003,109,0.0414535216987133,0.4827802777290344,,
708000,707899,6441,-0.8073500990867615,1888.3777734500002,1000.0,-153.8621368408203,708,0.0003,109,0.04181606322526932,0.6639277935028076,,
