rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss
-60.02782936,632,24,2574,99.09,62467,0.6291021875,13116,0.00025,1.2905889749526978
-59.63605588,636,24,2572,98.8,62843,0.6268696875000002,13210,0.00025,0.36042308807373047
-59.73822489,640,24,2568,99.03,63323,0.6240196874999999,13330,0.00025,0.7955111265182495
-58.47492071999999,644,24,2566,98.93,63689,0.6218465624999999,13422,0.00025,1.2780766487121582
-58.60784225999999,648,24,2563,98.97,64074,0.619560625,13518,0.00025,1.394081711769104
-58.772323830000005,652,25,2561,99.29,64471,0.6172034375000001,13617,0.00025,2.0751283168792725
-58.241710870000006,656,25,2558,100.13,64850,0.6149531250000002,13712,0.00025,0.4664645791053772
-57.35917194,660,25,2556,100.14,65244,0.6126137500000002,13810,0.00025,0.9263331890106201
-55.88126209000001,664,25,2550,101.17,65693,0.6099478125,13923,0.00025,0.9893816709518433
-53.89269089000001,668,25,2548,100.43,66012,0.6080537500000001,14002,0.00025,1.4272782802581787
-53.49120619,672,26,2546,100.58,66400,0.60575,14099,0.00025,1.4734171628952026
-52.383119889999996,676,26,2543,100.04,66794,0.6034106250000002,14198,0.00025,1.3509801626205444
-51.69253440000001,680,26,2540,100.29,67189,0.6010653125000001,14297,0.00025,0.4082997739315033
-50.646249450000006,684,26,2537,101.38,67667,0.5982271875,14416,0.00025,1.3356797695159912
-49.562800970000005,688,26,2533,100.96,68028,0.5960837500000001,14506,0.00025,1.0780460834503174
-48.72530416999999,692,27,2530,101.17,68466,0.5934831250000001,14616,0.00025,1.43649423122406
-48.53140891,696,27,2527,100.61,68900,0.59090625,14724,0.00025,0.5931205749511719
-47.767315280000005,700,27,2525,100.74,69264,0.5887450000000001,14815,0.00025,2.4101860523223877
-47.094685170000005,704,27,2523,101.15,69657,0.5864115625000001,14914,0.00025,2.54677677154541
-46.91250410000001,708,28,2518,107.18,70683,0.5803196875000001,15170,0.00025,11.073555946350098
-47.592273649999996,712,28,2515,107.58,71125,0.5776953125,15281,0.00025,1.4014708995819092
-46.692572219999995,716,28,2511,106.83,71514,0.5753856250000001,15378,0.00025,4.918924331665039
-47.39519683,720,28,2509,106.52,71932,0.5729037500000003,15482,0.00025,1.5891954898834229
-47.33139215000001,724,28,2506,106.15,72339,0.5704871874999999,15584,0.00025,1.1988604068756104
-47.73617187999999,728,29,2504,106.34,72754,0.5680231250000001,15688,0.00025,1.0759987831115723
-47.45162910999999,732,29,2502,107.42,73209,0.5653215625000001,15802,0.00025,6.409184455871582
-47.10671506,736,29,2500,107.41,73584,0.563095,15895,0.00025,1.7203385829925537
-46.498459669999995,740,29,2496,106.91,74014,0.5605418749999999,16003,0.00025,1.9800670146942139
-47.88426754000001,744,29,2494,106.82,74371,0.5584221875,16092,0.00025,1.5507023334503174
-47.05601338000001,748,29,2492,106.84,74758,0.556124375,16189,0.00025,4.418737411499023
-46.67284806,752,30,2491,106.75,75146,0.5538206250000002,16286,0.00025,1.7056148052215576
-45.86731845,756,30,2489,107.32,75582,0.551231875,16395,0.00025,2.3000383377075195
-45.075883919999995,760,30,2486,108.69,76113,0.5480790625,16528,0.00025,1.3394482135772705
-44.82552727,764,30,2484,108.32,76525,0.5456328125000001,16631,0.00025,0.9686771631240845
-44.99028013000001,768,31,2482,109.55,76967,0.5430084374999999,16741,0.00025,0.9544654488563538
-43.91299518999999,772,31,2478,110.31,77431,0.5402534375000001,16857,0.00025,1.6479517221450806
-45.73938135,776,31,2476,110.5,77844,0.5378012500000002,16960,0.00025,1.5534180402755737
-46.262009230000004,780,31,2474,110.73,78262,0.535319375,17065,0.00025,1.2620062828063965
-46.83244661,784,32,2470,116.11,79278,0.529286875,17319,0.00025,1.9801535606384277
-47.13785526999999,788,32,2466,117.53,79781,0.5263003125,17445,0.00025,1.9569379091262817
-46.57004589999999,792,32,2464,117.12,80178,0.5239431250000001,17544,0.00025,3.319488048553467
-46.764480909999996,796,32,2462,116.93,80593,0.5214790625000001,17648,0.00025,2.4589853286743164
-46.38674390000001,800,32,2461,117.26,80990,0.5191218750000002,17747,0.00025,1.3108035326004028
-43.75152504,804,33,2459,117.73,81430,0.5165093749999998,17857,0.00025,0.7558225393295288
-43.95703474999999,808,33,2457,112.01,81884,0.5138137500000002,17970,0.00025,3.336212635040283
-43.90913783999999,812,33,2453,111.45,82270,0.5115218749999999,18067,0.00025,10.361987113952637
-44.332469569999994,816,33,2451,113.81,82895,0.5078109375000002,18223,0.00025,1.079482913017273
-44.239127759999995,820,34,2449,114.7,83402,0.5048006250000001,18350,0.00025,2.410963773727417
-44.21587,824,34,2448,115.02,83841,0.5021940625,18460,0.00025,2.45005464553833
-45.25539435999998,828,34,2446,115.04,84258,0.4997181250000001,18564,0.00025,1.675825595855713
-44.10279513,832,34,2443,115.2,84729,0.49692156249999997,18682,0.00025,9.655959129333496
-43.410898380000006,836,34,2441,116.69,85253,0.4938103125000002,18813,0.00025,1.840675711631775
-42.31207278999998,840,35,2440,115.91,85605,0.49172031250000026,18901,0.00025,1.5546090602874756
-40.79231778,844,35,2438,116.49,86020,0.48925625000000017,19004,0.00025,2.6691203117370605
-40.1087603,848,35,2436,117.19,86477,0.4865428125000001,19119,0.00025,6.368440628051758
-38.37868331000001,852,35,2433,121.05,87251,0.4819471875,19312,0.00025,1.1867799758911133
-37.55271672,856,36,2429,124.59,88041,0.47725656250000015,19510,0.00025,1.553142786026001
-37.82012466,860,36,2427,125.03,88616,0.47384250000000017,19653,0.00025,1.2814834117889404
-37.321269349999994,864,36,2425,125.33,89058,0.47121812500000015,19764,0.00025,3.0005674362182617
-36.236947889999996,868,36,2424,125.87,89554,0.46827312500000007,19888,0.00025,1.7421725988388062
-36.700159510000006,872,37,2420,126.39,90070,0.46520937500000004,20017,0.00025,18.360830307006836
-33.72121558,876,37,2417,132.65,91109,0.4590403125000002,20277,0.00025,2.3697073459625244
-33.208059909999996,880,37,2415,132.72,91534,0.45651687500000004,20383,0.00025,2.3407886028289795
-32.408247380000006,884,38,2409,135.07,92785,0.44908906250000014,20696,0.00025,2.042750120162964
-31.57916365,888,38,2407,135.62,93343,0.4457759375000001,20835,0.00025,2.3996388912200928
-29.716017259999997,892,39,2405,137.39,93917,0.4423678125000001,20979,0.00025,1.8671280145645142
-29.15303785,896,39,2404,138.08,94401,0.4394940625000001,21100,0.00025,18.171052932739258
-27.51497709,900,39,2400,147.49,95739,0.4315496874999999,21434,0.00025,3.0787549018859863
-28.12432793,904,40,2394,155.98,97028,0.4238962500000002,21756,0.00025,2.0772745609283447
-26.32001244,908,41,2391,163.93,98277,0.41648031250000017,22069,0.00025,0.6945801973342896
-23.793592290000003,912,41,2390,164.45,98715,0.41387968750000026,22178,0.00025,3.212571382522583
-22.304711559999998,916,41,2385,171.29,100024,0.4061075000000002,22505,0.00025,3.56190824508667
-20.632574679999998,920,42,2383,172.53,100655,0.40236093750000024,22663,0.00025,1.8920780420303345
-19.531691130000002,924,42,2381,172.77,101118,0.39961187500000006,22779,0.00025,3.9004769325256348
-17.14690462,928,42,2380,172.75,101533,0.3971478125,22883,0.00025,1.0654782056808472
-14.763513000000003,932,43,2376,182.2,102949,0.3887403125000001,23237,0.00025,4.8020339012146
-12.776489060000003,936,44,2371,191.2,104373,0.3802853125,23593,0.00025,4.804163455963135
-10.95884942,940,44,2370,192.43,104848,0.37746500000000005,23711,0.00025,3.3836867809295654
