time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
2679,29,-1093.89038588,200.0,77824,38,0.0003,-0.0015529373835306616,6.616115570068359e-06,0.9001433849334717,370,-1.3103085957467555,0.02197265625,2031.2597854614257,900.0411376953125,0.2,0.003611942,,
2681,29,-1083.57648167,200.0,79872,39,0.0003,-0.001927476296259556,6.4373016357421875e-06,0.9146493673324585,380,-1.321227127686143,0.02919921875,2550.9392570495606,972.4048461914062,0.2,0.004085201,,
2680,30,-1082.90034442,200.0,81920,40,0.0003,-0.0014403654036868828,4.76837158203125e-06,0.9304399490356445,390,-1.3369890339672565,0.02451171875,2433.9676628112793,1097.374267578125,0.2,0.003449732,,
2676,31,-1066.12191418,200.0,83968,41,0.0003,-0.0007344720725086518,4.172325134277344e-06,0.9242690801620483,400,-1.3439567252993583,0.01201171875,2493.6276554107667,1144.0361328125,0.2,0.0012680911,,
2669,32,-1075.96144548,200.0,86016,42,0.0003,-0.0022877296767546797,4.172325134277344e-06,0.9092720746994019,410,-1.3325696725398302,0.020458984375,1894.502825164795,950.0274047851562,0.2,0.003564102,,
2666,33,-1076.7137917200002,200.0,88064,43,0.0003,-0.0035623054092866367,2.9206275939941406e-06,0.9040586948394775,420,-1.3198843147605657,0.053857421875,2152.5605499267576,753.0968017578125,0.2,0.0047558155,,
2666,33,-1077.15385496,200.0,90112,44,0.0003,-0.0034323345520533622,2.086162567138672e-06,0.9079704284667969,430,-1.320270113646984,0.051416015625,2038.0063358306884,741.928955078125,0.2,0.0036630505,,
2664,34,-1080.5377776799999,200.0,92160,45,0.0003,-0.003881046251626685,2.5033950805664062e-06,0.9115768671035767,440,-1.3246662463992833,0.035009765625,1929.7529426574706,774.3825073242188,0.2,0.0036126517,,
2661,35,-1074.6711005,200.0,94208,46,0.0003,-0.001726773622795008,2.3245811462402344e-06,0.9064422845840454,450,-1.3245375845581293,0.029541015625,2045.2252704620362,910.9842529296875,0.2,0.004509307,,
2654,36,-1072.41805511,200.0,96256,47,0.0003,-0.0021258643464534543,2.5033950805664062e-06,0.8850170373916626,460,-1.3087309908121825,0.034619140625,1547.097838973999,713.2359008789062,0.2,0.00427532,,
