time/fps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
2393,-49.562800970000005,688,28,68028,0.5960837500000001,100.96,1.0780460834503174,14506,0.00025
2389,-48.72530416999999,692,28,68466,0.5934831250000001,101.17,1.43649423122406,14616,0.00025
2387,-48.53140891,696,28,68900,0.59090625,100.61,0.5931205749511719,14724,0.00025
2385,-47.767315280000005,700,29,69264,0.5887450000000001,100.74,2.4101860523223877,14815,0.00025
2384,-47.094685170000005,704,29,69657,0.5864115625000001,101.15,2.54677677154541,14914,0.00025
2377,-46.91250410000001,708,29,70683,0.5803196875000001,107.18,11.073555946350098,15170,0.00025
2375,-47.592273649999996,712,29,71125,0.5776953125,107.58,1.4014708995819092,15281,0.00025
2373,-46.692572219999995,716,30,71514,0.5753856250000001,106.83,4.918924331665039,15378,0.00025
2370,-47.39519683,720,30,71932,0.5729037500000003,106.52,1.5891954898834229,15482,0.00025
2369,-47.33139215000001,724,30,72339,0.5704871874999999,106.15,1.1988604068756104,15584,0.00025
2367,-47.73617187999999,728,30,72754,0.5680231250000001,106.34,1.0759987831115723,15688,0.00025
2365,-47.45162910999999,732,30,73209,0.5653215625000001,107.42,6.409184455871582,15802,0.00025
2363,-47.10671506,736,31,73584,0.563095,107.41,1.7203385829925537,15895,0.00025
2360,-46.498459669999995,740,31,74014,0.5605418749999999,106.91,1.9800670146942139,16003,0.00025
2358,-47.88426754000001,744,31,74371,0.5584221875,106.82,1.5507023334503174,16092,0.00025
2357,-47.05601338000001,748,31,74758,0.556124375,106.84,4.418737411499023,16189,0.00025
2355,-46.67284806,752,31,75146,0.5538206250000002,106.75,1.7056148052215576,16286,0.00025
2352,-45.86731845,756,32,75582,0.551231875,107.32,2.3000383377075195,16395,0.00025
2350,-45.075883919999995,760,32,76113,0.5480790625,108.69,1.3394482135772705,16528,0.00025
2348,-44.82552727,764,32,76525,0.5456328125000001,108.32,0.9686771631240845,16631,0.00025
2347,-44.99028013000001,768,32,76967,0.5430084374999999,109.55,0.9544654488563538,16741,0.00025
2343,-43.91299518999999,772,33,77431,0.5402534375000001,110.31,1.6479517221450806,16857,0.00025
2342,-45.73938135,776,33,77844,0.5378012500000002,110.5,1.5534180402755737,16960,0.00025
2340,-46.262009230000004,780,33,78262,0.535319375,110.73,1.2620062828063965,17065,0.00025
2335,-46.83244661,784,33,79278,0.529286875,116.11,1.9801535606384277,17319,0.00025
2334,-47.13785526999999,788,34,79781,0.5263003125,117.53,1.9569379091262817,17445,0.00025
