rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate,train/n_updates,train/std,train/clip_range,eval/mean_ep_length,eval/mean_reward
774.99,49,46,774.99,100352,2175,,,,,,,,,,,,,
791.56,50,46,791.56,102400,2180,1.592049322027833e-05,-1.5865824222564697,0.0033302098,0.0014055298815947026,-0.9656898643821478,0.0357421875,-0.004872750025242567,0.0003,490,0.6300570368766785,0.2,,
808.62,51,47,808.62,104448,2186,1.360962173180269e-05,-1.7650601863861084,0.00762719,-0.0015610883318004198,-0.9402549512684345,0.0521484375,-0.010243983939290047,0.0003,500,0.6116983294487,0.2,,
823.34,52,48,823.34,106496,2193,7.695624358916574e-06,-2.527039051055908,0.0035354448,0.0006563880262547173,-0.9072357172146439,0.0373046875,0.043362002819776535,0.0003,510,0.5908511281013489,0.2,,
839.38,53,49,839.38,108544,2197,9.838619493507395e-06,-3.589557647705078,0.0064977305,0.0017824150127125904,-0.8781033838167787,0.049072265625,0.007848536595702171,0.0003,520,0.5756785273551941,0.2,,
,,,,110000,,3.552973103637669e-06,-2.5433907508850098,0.0030433773,-0.000581427855649963,-0.8466613337397575,0.03583984375,-0.012875791639089584,0.0003,530,0.5542463064193726,0.2,1000.0,1000.0
856.18,54,50,856.18,110592,2171,,,,,,,,,,,,,
874.44,55,51,874.44,112640,2177,3.830924123349178e-06,-4.88867712020874,0.00406812,-7.65660937759094e-05,-0.8078670663759112,0.0427734375,-0.008621233515441418,0.0003,540,0.5356441736221313,0.2,,
888.71,56,52,888.71,114688,2182,1.2037654155960808e-05,-4.047351360321045,0.0048897685,0.0010483652018592692,-0.7800935622304678,0.04755859375,-0.005138487555086613,0.0003,550,0.5201345682144165,0.2,,
905.49,57,53,905.49,116736,2188,7.424155165836055e-06,-5.43229341506958,0.00612359,-0.0018063514013192616,-0.7400272203609347,0.0380859375,-0.00589191447943449,0.0003,560,0.4970896244049072,0.2,,
918.85,58,54,918.85,118784,2193,1.2451815535996503e-06,-7.604085922241211,0.0061447592,-0.0008725352556211874,-0.693681769259274,0.03916015625,-0.001458878512494266,0.0003,570,0.4746192991733551,0.2,,
,,,,120000,,1.9455886345554063e-05,-10.894574165344238,0.0045190183,-5.553377122851089e-05,-0.6531071480363607,0.046435546875,0.0034460434690117836,0.0003,580,0.45632824301719666,0.2,1000.0,1000.0
944.13,59,55,944.13,120832,2169,,,,,,,,,,,,,
957.27,60,56,957.27,122880,2176,5.608475385088241e-06,-17.181529998779297,0.00468034,-0.0014123732602456585,-0.6118584601208568,0.031494140625,0.014673558063805103,0.0003,590,0.43764740228652954,0.2,,
970.32,61,57,970.32,124928,2181,2.5864316910428897e-06,-11.069563865661621,0.008089462,0.002342190440685954,-0.5782799208536744,0.041259765625,-0.02290152758359909,0.0003,600,0.42708075046539307,0.2,,
984.11,62,58,984.11,126976,2187,2.3006654771506875e-06,-14.479365348815918,0.0030359994,0.0003425235627219081,-0.5548208020627499,0.042333984375,-0.008258872665464878,0.0003,610,0.4152700901031494,0.2,,
991.97,63,58,991.97,129024,2192,0.00011419587559089451,-12.37236499786377,0.0029424783,0.0016545932667213492,-0.5218361496925354,0.052099609375,0.009515432640910149,0.0003,620,0.40218839049339294,0.2,,
,,,,130000,,8.023490920550103e-07,-11.587287902832031,0.0054272246,0.0010487992811249569,-0.4878390973433852,0.04345703125,0.03147704526782036,0.0003,630,0.38768231868743896,0.2,1000.0,1000.0
991.97,64,60,991.97,131072,2169,,,,,,,,,,,,,
991.97,65,61,991.97,133120,2174,3.375324888565956e-06,-10.844614028930664,0.0025658193,0.0019853091980621684,-0.4602097313851118,0.037548828125,-0.010164097882807255,0.0003,640,0.37901341915130615,0.2,,
991.97,66,61,991.97,135168,2180,5.581518422559384e-07,-13.993424415588379,0.004122001,-0.0008096006247797049,-0.4272026205435395,0.0494140625,0.016908369958400726,0.0003,650,0.36446407437324524,0.2,,
991.97,67,62,991.97,137216,2185,1.9295442768907377e-06,-11.518160820007324,0.007556147,0.00010988293215632438,-0.3942410137504339,0.049462890625,0.004659008700400591,0.0003,660,0.3543412387371063,0.2,,
991.97,68,63,991.97,139264,2190,0.00013863031956304895,-14.379491806030273,0.0075136903,-0.0037862906712689435,-0.3560155786573887,0.058154296875,-0.005070250481367111,0.0003,670,0.337856650352478,0.2,,
,,,,140000,,8.257256433807925e-06,-13.953896522521973,0.0075300224,0.0010938959792838431,-0.3163836617022753,0.074560546875,-0.020325524732470512,0.0003,680,0.32724201679229736,0.2,1000.0,1000.0
991.97,69,65,991.97,141312,2171,,,,,,,,,,,,,
991.97,70,65,991.97,143360,2176,4.5186465058577596e-07,-14.108757019042969,0.004672109,-0.0005621111951768399,-0.28250028043985365,0.05087890625,0.005610302090644836,0.0003,690,0.3164668083190918,0.2,,
