time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/approx_kl,eval/mean_ep_length,eval/mean_reward
1829,33,-94.11327610606058,908.2121212121212,61440,30,0.0003,-0.009889917208784026,-0.6379691362380981,0.7950050234794617,290,-4.780467802286148,0.090380859375,0.2038461599033326,0.03838265314698219,0.2,0.009033637,,
1836,34,-92.88976463235292,928.5588235294117,63488,31,0.0003,-0.010318763876421144,0.3807039260864258,0.7982483506202698,300,-4.764877951145172,0.10673828125,0.15993243157863618,0.08322398364543915,0.2,0.00804292,,
1842,35,-92.3207166231884,938.2898550724638,65536,32,0.0003,-0.013910012163978535,0.632114827632904,0.801454484462738,310,-4.783528542518615,0.155029296875,0.15105888249818236,0.03608160465955734,0.2,0.01577025,,
1848,36,-91.64429024285714,947.7428571428571,67584,33,0.0003,-0.010699854996346403,0.5387565493583679,0.7948217988014221,320,-4.770039781928062,0.11552734375,0.16179691108409316,0.06539855897426605,0.2,0.009896735,,
1853,37,-89.94087616666667,965.8611111111111,69632,34,0.0003,-0.010073182899213861,0.6875226497650146,0.7877365946769714,330,-4.736896765232086,0.12265625,0.21409389532636852,0.06177496537566185,0.2,0.010470074,,
1858,38,-90.79336650666666,936.04,71680,35,0.0003,-0.01123612140363548,0.025903642177581787,0.7789798974990845,340,-4.697659248113633,0.121044921875,0.4083327209111303,0.20155155658721924,0.2,0.011886818,,
1862,39,-89.15315890909089,953.2857142857143,73728,36,0.0003,-0.004762620937253814,0.6584197878837585,0.7795157432556152,350,-4.674905626475811,0.011767578125,22.013540476933123,2.6382992267608643,0.2,0.004261242,,
,,,,75000,,0.0003,-0.0081962102354737,0.5020432472229004,0.771864652633667,360,-4.658566576242447,0.106884765625,0.9120515262708068,0.43747127056121826,0.2,0.0137982005,1416.8,-61.20935654558707
1793,42,-89.80678381012656,940.0126582278481,75776,37,,,,,,,,,,,,,
1798,43,-88.29676827160493,956.3086419753087,77824,38,0.0003,-0.005632053493172862,0.8772151470184326,0.770723283290863,370,-4.6355019703507425,0.04462890625,10.464805794507265,0.36491549015045166,0.2,0.0045155124,,
1804,44,-87.28523189024389,964.1585365853658,79872,39,0.0003,-0.011260089065763168,0.5169835090637207,0.7614584565162659,380,-4.6071116626262665,0.1251953125,0.9064148747362196,0.29024937748908997,0.2,0.011726391,,
1811,45,-86.38065442168674,971.8192771084338,81920,40,0.0003,-0.012189246923662722,0.6489776372909546,0.7505320310592651,390,-4.551188634335995,0.13984375,0.25853648253250866,0.04170592129230499,0.2,0.012485184,,
1816,46,-84.34263640697674,976.0930232558139,83968,41,0.0003,-0.009282026485016104,0.7892196774482727,0.743061363697052,400,-4.503523786365986,0.099755859375,0.2983040755614638,0.10077841579914093,0.2,0.008661404,,
1821,47,-83.41944858620688,983.264367816092,86016,42,0.0003,-0.008934821787988767,0.8630498647689819,0.7380567193031311,410,-4.474513229727745,0.068359375,4.426623764075339,0.1808355450630188,0.2,0.0076692896,,
1826,48,-82.12081422727273,990.2727272727273,88064,43,0.0003,-0.013797106499987421,0.7372674942016602,0.733289361000061,420,-4.4418781220912935,0.14736328125,0.343978866469115,0.21285243332386017,0.2,0.011932917,,
1832,49,-80.91432463333332,992.3,90112,44,0.0003,-0.012519879441242665,0.8332935571670532,0.7234922647476196,430,-4.40520167350769,0.139453125,0.2931167995557189,0.11411325633525848,0.2,0.011468236,,
1836,50,-79.60903312087912,998.978021978022,92160,45,0.0003,-0.008132131324964575,0.8711116313934326,0.7222630977630615,440,-4.375225354731083,0.105712890625,4.59710968984291,0.11188206076622009,0.2,0.0059785787,,
1841,51,-77.24937177419355,1011.9032258064516,94208,46,0.0003,-0.011371741618495435,0.7204881906509399,0.7249070405960083,450,-4.382113516330719,0.121142578125,0.512538101663813,0.25630348920822144,0.2,0.009702857,,
1846,52,-77.19454977659575,1016.2021276595744,96256,47,0.0003,-0.010581654135603458,0.8272504806518555,0.7159116864204407,460,-4.362488633394241,0.124609375,0.3518268712796271,0.12884856760501862,0.2,0.010412647,,
1850,53,-75.87048877894738,1022.3473684210526,98304,48,0.0003,-0.006996863429958466,0.8961279988288879,0.7153319120407104,470,-4.333274352550506,0.10673828125,5.952191082388163,4.647449970245361,0.2,0.0093405545,,
,,,,100000,,0.0003,-0.012369153887266292,0.6004109382629395,0.7040180563926697,480,-4.2995529770851135,0.15615234375,0.2847128339577466,0.08945369720458984,0.2,0.011899024,1600.0,128.06721883076244
1793,55,-73.12159397938144,1034.2577319587629,100352,49,,,,,,,,,,,,,
1797,56,-71.87904682653061,1040.030612244898,102400,50,0.0003,-0.01145516810065601,0.797255277633667,0.6943134665489197,490,-4.238386899232864,0.13544921875,0.26594180227257314,0.057072825729846954,0.2,0.0107018715,,
1802,57,-70.65030012121213,1045.6868686868686,104448,51,0.0003,-0.013511223421664909,0.8149010539054871,0.691633403301239,500,-4.207381884753704,0.145361328125,0.33126953085884453,0.16951188445091248,0.2,0.0121696275,,
1806,58,-69.45163082,1051.23,106496,52,0.0003,-0.01336655462073395,0.854010820388794,0.6864615678787231,510,-4.180675622820854,0.137548828125,0.2984951618593186,0.1023477092385292,0.2,0.013018966,,
1811,59,-65.91451694999999,1051.23,108544,53,0.0003,-0.016464630488189868,0.8789916038513184,0.6737608313560486,520,-4.126221837103367,0.157080078125,0.2494741415604949,0.09651938080787659,0.2,0.014262029,,
1816,60,-63.830523369999995,1051.23,110592,54,0.0003,-0.014937970071332528,0.8619027137756348,0.6692568063735962,530,-4.0803465873003,0.158203125,0.285396313900128,0.12620869278907776,0.2,0.015319242,,
1820,61,-61.78619638,1066.52,112640,55,0.0003,-0.008815793476242107,0.8389449119567871,0.6658369302749634,540,-4.056266915798187,0.119140625,0.38665704187005756,0.15603092312812805,0.2,0.009736517,,
1824,62,-60.95733572,1035.02,114688,56,0.0003,-0.010546268065809272,0.7711738348007202,0.6559690237045288,550,-4.012483961880207,0.10810546875,0.7206980668008327,0.24097169935703278,0.2,0.008672926,,
1828,63,-57.250516129999994,1035.02,116736,57,0.0003,-0.01156217094976455,0.8910033106803894,0.6555156111717224,560,-3.9839398130774497,0.101904296875,10.665150891244412,1.0184656381607056,0.2,0.00971452,,
1831,64,-56.98705406999999,1026.56,118784,58,0.0003,-0.010366923616675194,0.5840616226196289,0.6505327820777893,570,-3.964397278428078,0.135888671875,0.38155574100092055,0.08182505518198013,0.2,0.010968294,,
1835,65,-53.28139996000001,1027.46,120832,59,0.0003,-0.007082001434173435,0.9132512807846069,0.6496375799179077,580,-3.949682730436325,0.06640625,10.748750382103026,12.142969131469727,0.2,0.007410772,,
1839,66,-51.32122227,1042.88,122880,60,0.0003,-0.01132725585193839,0.948808491230011,0.646431028842926,590,-3.9377079717814922,0.07666015625,5.761484693735838,0.2950223386287689,0.2,0.0076869074,,
1842,67,-49.208800739999994,1058.22,124928,61,0.0003,-0.010188211931381374,0.7488675117492676,0.638673722743988,600,-3.9028246335685255,0.150439453125,0.5240612139459699,0.11199350655078888,0.2,0.013324712,,
,,,,125000,,0.0003,-0.008357167277426924,0.8090232014656067,0.6374045014381409,610,-3.8784632466733457,0.124853515625,0.34657302373088894,0.13254468142986298,0.2,0.010809083,1600.0,146.5418295113719
1797,70,-47.106741789999994,1073.84,126976,62,,,,,,,,,,,,,
1801,71,-43.18505413999999,1088.88,129024,63,0.0003,-0.01072499984584283,0.8133381605148315,0.6278706789016724,620,-3.8362661726772784,0.138818359375,0.3029437968507409,0.12717999517917633,0.2,0.011468997,,
