Algorithm,Episode,Step,DistanceError
Vanilla PPO,7,8,4.063718559663547
Vanilla PPO,7,9,4.047087018469203
Vanilla PPO,7,10,3.9610483520381927
Vanilla PPO,7,11,3.8243514942301533
Vanilla PPO,7,12,3.653922694479615
Vanilla PPO,7,13,3.462974064944217
Vanilla PPO,7,14,3.2602113173543272
Vanilla PPO,7,15,3.0501828192102765
Vanilla PPO,7,16,2.8345257536309596
Vanilla PPO,7,17,2.613609285840457
Vanilla PPO,7,18,2.3879893923199185
Vanilla PPO,7,19,2.1592814605406048
Vanilla PPO,7,20,1.930395448258573
Vanilla PPO,7,21,1.7053180028069923
Vanilla PPO,7,22,1.4886982976268575
Vanilla PPO,7,23,1.2854102213668717
Vanilla PPO,7,24,1.1001843399394702
Vanilla PPO,7,25,0.937285896459445
Vanilla PPO,7,26,0.8001479615317152
Vanilla PPO,7,27,0.6908143540930783
Vanilla PPO,7,28,0.6091619886189473
Vanilla PPO,7,29,0.5522443008968267
Vanilla PPO,7,30,0.514480593130514
Vanilla PPO,7,31,0.48899102683253076
Vanilla PPO,7,32,0.4693345222502197
Vanilla PPO,7,33,0.45063992342243603
Vanilla PPO,7,34,0.4298638781746568
Vanilla PPO,7,35,0.4055106584316483
Vanilla PPO,7,36,0.3772016833841757
Vanilla PPO,7,37,0.34528479638877285
Vanilla PPO,7,38,0.310533954536358
Vanilla PPO,7,39,0.2739433781285847
Vanilla PPO,7,40,0.23658938739791832
Vanilla PPO,7,41,0.19955312445595136
Vanilla PPO,7,42,0.1638900545874513
Vanilla PPO,7,43,0.1306600741558311
Vanilla PPO,7,44,0.10104180292396904
Vanilla PPO,7,45,0.07659821743170958
Vanilla PPO,7,46,0.05963822430419661
Vanilla PPO,7,47,0.05260343905525311
Vanilla PPO,7,48,0.05490730473495214
Vanilla PPO,7,49,0.06225900390771282
Vanilla PPO,7,50,0.3034728311610099
Vanilla PPO,8,1,1.431826455362913
Vanilla PPO,8,2,2.87385229148494
Vanilla PPO,8,3,4.135935358499418
Vanilla PPO,8,4,5.209695690852817
Vanilla PPO,8,5,6.076531860489892
Vanilla PPO,8,6,6.713968611301484
Vanilla PPO,8,7,7.1145224886355924
Vanilla PPO,8,8,7.296455637212844
Vanilla PPO,8,9,7.2964077787727355
Vanilla PPO,8,10,7.152549458432819
Vanilla PPO,8,11,6.891306912598645
Vanilla PPO,8,12,6.526087080893668
Vanilla PPO,8,13,6.0675915723625415
Vanilla PPO,8,14,5.536377058711874
Vanilla PPO,8,15,4.966185904723106
Vanilla PPO,8,16,4.3948284095962284
Vanilla PPO,8,17,3.852064985333918
Vanilla PPO,8,18,3.3549009466609667
Vanilla PPO,8,19,2.910491724601302
Vanilla PPO,8,20,2.5209931917885533
Vanilla PPO,8,21,2.186682092901321
Vanilla PPO,8,22,1.9068909991361815
Vanilla PPO,8,23,1.6795955744309656
Vanilla PPO,8,24,1.5005655496255663
Vanilla PPO,8,25,1.3628496291616818
Vanilla PPO,8,26,1.2571579169300073
Vanilla PPO,8,27,1.173171989879469
Vanilla PPO,8,28,1.101197495728958
Vanilla PPO,8,29,1.033431916102689
Vanilla PPO,8,30,0.9645109919650879
Vanilla PPO,8,31,0.8914397386281674
Vanilla PPO,8,32,0.8131836716612919
Vanilla PPO,8,33,0.730158524813471
Vanilla PPO,8,34,0.6437381279434709
Vanilla PPO,8,35,0.5558391889417719
Vanilla PPO,8,36,0.46859872116255813
Vanilla PPO,8,37,0.3841390283999254
Vanilla PPO,8,38,0.3044214274955803
Vanilla PPO,8,39,0.23119640599670355
Vanilla PPO,8,40,0.1660889766835915
Vanilla PPO,8,41,0.11102736988874211
Vanilla PPO,8,42,0.06980880998898403
Vanilla PPO,8,43,0.05148193469356626
Vanilla PPO,8,44,0.059132206419577116
Vanilla PPO,8,45,0.0758032195129604
Vanilla PPO,8,46,0.09074037776034125
Vanilla PPO,8,47,0.10121515830347705
Vanilla PPO,8,48,0.10690761362295971
Vanilla PPO,8,49,0.10821362750067996
Vanilla PPO,8,50,0.3570910263355911
Vanilla PPO,9,1,1.3162903948511202
Vanilla PPO,9,2,2.2864497935157386
Vanilla PPO,9,3,2.9486734354378488
Vanilla PPO,9,4,3.358602368838487
Vanilla PPO,9,5,3.5620935710652093
Vanilla PPO,9,6,3.601424743406156
Vanilla PPO,9,7,3.5169942269356715
Vanilla PPO,9,8,3.3465368965616005
Vanilla PPO,9,9,3.123933168455062
Vanilla PPO,9,10,2.878451266184289
Vanilla PPO,9,11,2.634360306716107
Vanilla PPO,9,12,2.4105917587087267
Vanilla PPO,9,13,2.220258356193567
Vanilla PPO,9,14,2.0701552892382127
Vanilla PPO,9,15,1.960716973868494
Vanilla PPO,9,16,1.8869528981751649
Vanilla PPO,9,17,1.8404049304096468
Vanilla PPO,9,18,1.8114771743568339
Vanilla PPO,9,19,1.7913088410295823
Vanilla PPO,9,20,1.7727857929578654
Vanilla PPO,9,21,1.7507952101923316
Vanilla PPO,9,22,1.7220402349583608
Vanilla PPO,9,23,1.6846841473345409
Vanilla PPO,9,24,1.6379853134297135
Vanilla PPO,9,25,1.5819856035812274
Vanilla PPO,9,26,1.5172648777212607
Vanilla PPO,9,27,1.4447558887256182
Vanilla PPO,9,28,1.3656113214716699
Vanilla PPO,9,29,1.2811000776945765
Vanilla PPO,9,30,1.1925366805116129
Vanilla PPO,9,31,1.1012259030899236
Vanilla PPO,9,32,1.008423874619793
Vanilla PPO,9,33,0.9153124929455069
Vanilla PPO,9,34,0.8229794288895969
Vanilla PPO,9,35,0.732409464668897
Vanilla PPO,9,36,0.6444804826213568
Vanilla PPO,9,37,0.5599674335758579
Vanilla PPO,9,38,0.47955204800302376
Vanilla PPO,9,39,0.40384328836622924
Vanilla PPO,9,40,0.33341346785428916
Vanilla PPO,9,41,0.26886795165873134
