rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss
373.31,21,51200,25,2372,372.58,240,-0.036341190338134766,0.2,0.0058232723,-0.002386489708442241,0.02846674434840679,0.05686636165910386,0.0003,0.7574800848960876,0.05703125,-1.1423230476677417
391.74,22,53248,26,2372,391.03,250,-0.029198408126831055,0.2,0.004223137,0.0011619208024058025,0.020493745803833008,0.03452459211475798,0.0003,0.7590076327323914,0.0263671875,-1.1431761566549539
411.09,23,55296,27,2374,410.4,260,-0.037216782569885254,0.2,0.0030978576,-0.0016707708840840497,0.0012424876913428307,0.022210697356831587,0.0003,0.7614532709121704,0.0271484375,-1.143843012675643
429.18,24,57344,28,2372,428.51,270,-0.021314501762390137,0.2,0.002313396,0.0005684060372004752,0.006726700346916914,0.013232048970985488,0.0003,0.774432361125946,0.013623046875,-1.1545467607676982
448.11,25,59392,29,2370,447.46,280,-0.027977466583251953,0.2,0.0040178644,-8.07161326520145e-05,-0.007106679957360029,0.008693640345109088,0.0003,0.7774697542190552,0.0359375,-1.164893174916506
467.71,25,61440,30,2373,467.08,290,-0.03752255439758301,0.2,0.004781695,0.0005655500863213092,-6.676377961412072e-05,0.005517924788773598,0.0003,0.7932201623916626,0.034033203125,-1.175338114053011
486.13,26,63488,31,2370,485.52,300,-0.01261293888092041,0.2,0.005274175,-0.0025579617948096713,-0.007523291278630495,0.0036451671144277498,0.0003,0.7974172830581665,0.044140625,-1.19102785885334
504.46,27,65536,32,2365,503.87,310,-0.05310213565826416,0.2,0.00478555,-0.0012251802050741389,0.03912068158388138,0.0024265055008982016,0.0003,0.803621232509613,0.0404296875,-1.1968152351677417
522.69,29,67584,33,2327,522.12,320,-0.07611095905303955,0.2,0.0035132575,-0.00036091023503104225,-0.005151722580194473,0.001637425437775164,0.0003,0.8107941746711731,0.03603515625,-1.2063050869852305
540.49,31,69632,34,2239,539.94,330,-0.07529544830322266,0.2,0.003141047,-0.0009139812114881352,0.005010377150028944,0.0010700150984803258,0.0003,0.8142520189285278,0.043505859375,-1.2121420510113239
558.41,32,71680,35,2227,557.88,340,-0.11521375179290771,0.2,0.004023997,-0.0010251922401948832,-0.0021391662303358316,0.0008558874477984091,0.0003,0.8342217803001404,0.079638671875,-1.2265721816569566
585.77,33,73728,36,2233,585.27,350,-0.1129460334777832,0.2,0.0030572915,-0.0025833251798758282,-0.004228259902447462,0.000611154783297252,0.0003,0.8109866380691528,0.044189453125,-1.2225412830710412
