rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,time/time_elapsed,rollout/exploration_rate,train/learning_rate,train/n_updates,train/loss
-71.16462438,101.12,536,2501,52963,21,0.6855321875,0.00025,10740,1.2148557901382446
-71.79970322000001,101.39,540,2497,53420,21,0.6828187499999998,0.00025,10854,1.159305453300476
-70.65824692,101.26,544,2494,53796,21,0.68058625,0.00025,10948,0.5586504936218262
-69.98581041999999,100.21,548,2487,54177,21,0.6783240625,0.00025,11044,0.41493988037109375
-69.09220094999999,99.27,552,2484,54542,21,0.676156875,0.00025,11135,0.9078506827354431
-68.58531828000001,98.33,556,2482,54837,22,0.6744053124999998,0.00025,11209,4.566214084625244
-68.58291615000002,98.12,560,2478,55230,22,0.6720718750000002,0.00025,11307,1.326172113418579
-68.75566878000001,97.55,564,2475,55576,22,0.6700174999999999,0.00025,11393,0.6490903496742249
-68.91282365,97.46,568,2473,55969,22,0.6676840625000001,0.00025,11492,2.591099500656128
-67.59725176,96.67,572,2470,56342,22,0.6654693750000003,0.00025,11585,2.0601918697357178
-67.39044102,97.92,576,2465,56790,23,0.6628093750000001,0.00025,11697,1.4743461608886719
-67.13079428,96.97,580,2460,57160,23,0.6606125,0.00025,11789,1.0258668661117554
-68.17960122000001,96.37,584,2456,57529,23,0.6584215625000001,0.00025,11882,1.2483069896697998
-68.71526704,96.31,588,2454,57932,23,0.6560287499999999,0.00025,11982,0.4214310646057129
-68.40331097,96.4,592,2451,58349,23,0.6535528125000001,0.00025,12087,0.3629699945449829
-65.56487633,97.13,596,2448,58839,24,0.6506434375000001,0.00025,12209,0.7535417675971985
-65.94067705000002,97.12,600,2446,59190,24,0.648559375,0.00025,12297,0.7884521484375
-66.61285430000001,97.05,604,2440,59542,24,0.6464693750000001,0.00025,12385,1.7963829040527344
-65.17467214,96.28,608,2438,59965,24,0.6439578125000001,0.00025,12491,0.8856191039085388
-63.62167293000002,96.49,612,2435,60367,24,0.6415709374999999,0.00025,12591,0.8513551354408264
-63.486402080000005,97.38,616,2433,60831,25,0.6388159375000001,0.00025,12707,1.8358964920043945
-62.34736244,97.95,620,2430,61280,25,0.63615,0.00025,12819,0.6304889917373657
-61.21288776,99.12,624,2427,61724,25,0.6335137500000002,0.00025,12930,0.6917944550514221
-59.527348030000006,99.08,628,2422,62120,25,0.6311625000000001,0.00025,13029,2.0546865463256836
-60.02782936,99.09,632,2420,62467,25,0.6291021875,0.00025,13116,1.2905889749526978
-59.63605588,98.8,636,2418,62843,25,0.6268696875000002,0.00025,13210,0.36042308807373047
-59.73822489,99.03,640,2415,63323,26,0.6240196874999999,0.00025,13330,0.7955111265182495
-58.47492071999999,98.93,644,2413,63689,26,0.6218465624999999,0.00025,13422,1.2780766487121582
-58.60784225999999,98.97,648,2410,64074,26,0.619560625,0.00025,13518,1.394081711769104
-58.772323830000005,99.29,652,2405,64471,26,0.6172034375000001,0.00025,13617,2.0751283168792725
-58.241710870000006,100.13,656,2402,64850,26,0.6149531250000002,0.00025,13712,0.4664645791053772
-57.35917194,100.14,660,2400,65244,27,0.6126137500000002,0.00025,13810,0.9263331890106201
-55.88126209000001,101.17,664,2398,65693,27,0.6099478125,0.00025,13923,0.9893816709518433
-53.89269089000001,100.43,668,2396,66012,27,0.6080537500000001,0.00025,14002,1.4272782802581787
-53.49120619,100.58,672,2395,66400,27,0.60575,0.00025,14099,1.4734171628952026
-52.383119889999996,100.04,676,2390,66794,27,0.6034106250000002,0.00025,14198,1.3509801626205444
-51.69253440000001,100.29,680,2388,67189,28,0.6010653125000001,0.00025,14297,0.4082997739315033
-50.646249450000006,101.38,684,2386,67667,28,0.5982271875,0.00025,14416,1.3356797695159912
-49.562800970000005,100.96,688,2384,68028,28,0.5960837500000001,0.00025,14506,1.0780460834503174
-48.72530416999999,101.17,692,2381,68466,28,0.5934831250000001,0.00025,14616,1.43649423122406
-48.53140891,100.61,696,2376,68900,28,0.59090625,0.00025,14724,0.5931205749511719
-47.767315280000005,100.74,700,2374,69264,29,0.5887450000000001,0.00025,14815,2.4101860523223877
-47.094685170000005,101.15,704,2372,69657,29,0.5864115625000001,0.00025,14914,2.54677677154541
-46.91250410000001,107.18,708,2367,70683,29,0.5803196875000001,0.00025,15170,11.073555946350098
-47.592273649999996,107.58,712,2365,71125,30,0.5776953125,0.00025,15281,1.4014708995819092
-46.692572219999995,106.83,716,2361,71514,30,0.5753856250000001,0.00025,15378,4.918924331665039
-47.39519683,106.52,720,2359,71932,30,0.5729037500000003,0.00025,15482,1.5891954898834229
-47.33139215000001,106.15,724,2357,72339,30,0.5704871874999999,0.00025,15584,1.1988604068756104
-47.73617187999999,106.34,728,2355,72754,30,0.5680231250000001,0.00025,15688,1.0759987831115723
-47.45162910999999,107.42,732,2353,73209,31,0.5653215625000001,0.00025,15802,6.409184455871582
-47.10671506,107.41,736,2349,73584,31,0.563095,0.00025,15895,1.7203385829925537
-46.498459669999995,106.91,740,2347,74014,31,0.5605418749999999,0.00025,16003,1.9800670146942139
-47.88426754000001,106.82,744,2346,74371,31,0.5584221875,0.00025,16092,1.5507023334503174
-47.05601338000001,106.84,748,2344,74758,31,0.556124375,0.00025,16189,4.418737411499023
-46.67284806,106.75,752,2343,75146,32,0.5538206250000002,0.00025,16286,1.7056148052215576
-45.86731845,107.32,756,2341,75582,32,0.551231875,0.00025,16395,2.3000383377075195
-45.075883919999995,108.69,760,2336,76113,32,0.5480790625,0.00025,16528,1.3394482135772705
-44.82552727,108.32,764,2335,76525,32,0.5456328125000001,0.00025,16631,0.9686771631240845
-44.99028013000001,109.55,768,2333,76967,32,0.5430084374999999,0.00025,16741,0.9544654488563538
-43.91299518999999,110.31,772,2331,77431,33,0.5402534375000001,0.00025,16857,1.6479517221450806
-45.73938135,110.5,776,2330,77844,33,0.5378012500000002,0.00025,16960,1.5534180402755737
-46.262009230000004,110.73,780,2325,78262,33,0.535319375,0.00025,17065,1.2620062828063965
-46.83244661,116.11,784,2322,79278,34,0.529286875,0.00025,17319,1.9801535606384277
-47.13785526999999,117.53,788,2320,79781,34,0.5263003125,0.00025,17445,1.9569379091262817
-46.57004589999999,117.12,792,2318,80178,34,0.5239431250000001,0.00025,17544,3.319488048553467
-46.764480909999996,116.93,796,2315,80593,34,0.5214790625000001,0.00025,17648,2.4589853286743164
-46.38674390000001,117.26,800,2313,80990,35,0.5191218750000002,0.00025,17747,1.3108035326004028
-43.75152504,117.73,804,2312,81430,35,0.5165093749999998,0.00025,17857,0.7558225393295288
-43.95703474999999,112.01,808,2310,81884,35,0.5138137500000002,0.00025,17970,3.336212635040283
-43.90913783999999,111.45,812,2309,82270,35,0.5115218749999999,0.00025,18067,10.361987113952637
-44.332469569999994,113.81,816,2307,82895,35,0.5078109375000002,0.00025,18223,1.079482913017273
-44.239127759999995,114.7,820,2303,83402,36,0.5048006250000001,0.00025,18350,2.410963773727417
-44.21587,115.02,824,2301,83841,36,0.5021940625,0.00025,18460,2.45005464553833
-45.25539435999998,115.04,828,2300,84258,36,0.4997181250000001,0.00025,18564,1.675825595855713
-44.10279513,115.2,832,2299,84729,36,0.49692156249999997,0.00025,18682,9.655959129333496
-43.410898380000006,116.69,836,2295,85253,37,0.4938103125000002,0.00025,18813,1.840675711631775
-42.31207278999998,115.91,840,2294,85605,37,0.49172031250000026,0.00025,18901,1.5546090602874756
-40.79231778,116.49,844,2292,86020,37,0.48925625000000017,0.00025,19004,2.6691203117370605
