time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/policy_gradient_loss,train/std,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/learning_rate,train/value_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
28,2584,57344,200.0,22,-1132.6899309,0.010009765625,-0.0010989241432980633,0.8962262868881226,0.002236893,2.9921531677246094e-05,1814.5911865234375,0.2,-1.3052290584892035,0.0003,3985.315901184082,270,,
29,2589,59392,200.0,22,-1145.7943621799998,0.019482421875,-0.0010478026437340305,0.8967307806015015,0.0037707645,2.3066997528076172e-05,1645.3729248046875,0.2,-1.3100990153849126,0.0003,3258.931906890869,280,,
,,60000,,,,0.0263671875,-0.0023897059727460146,0.8930138349533081,0.0030543515,2.014636993408203e-05,1749.3115234375,0.2,-1.3083775710314511,0.0003,4170.548997497559,290,-1158.2919452011586,200.0
30,2580,61440,200.0,23,-1140.17762222,,,,,,,,,,,,,
31,2586,63488,200.0,24,-1135.11994966,0.004833984375,-0.0008885153860319406,0.8786839246749878,0.0022740671,1.817941665649414e-05,1564.7603759765625,0.2,-1.2986348029226065,0.0003,4277.268156433105,300,,
,,65000,,,,0.02158203125,-0.0019601332576712595,0.8755490183830261,0.0021800124,1.6868114471435547e-05,1849.86328125,0.2,-1.2863020721822978,0.0003,4002.5622741699217,310,-928.5192406024784,200.0
32,2580,65536,200.0,25,-1116.99360548,,,,,,,,,,,,,
33,2587,67584,200.0,26,-1107.80094385,0.01748046875,-0.0014985815461841412,0.8993085026741028,0.0034824642,1.9609928131103516e-05,1290.171875,0.2,-1.301206111162901,0.0003,2627.1855068206787,320,,
34,2594,69632,200.0,26,-1122.7394996300002,0.03984375,-0.0033220759956748224,0.9247745275497437,0.0036663853,1.4722347259521484e-05,932.5734252929688,0.2,-1.3276008993387223,0.0003,2452.5770763397218,330,,
,,70000,,,,0.020654296875,-0.001732660947891418,0.9112740755081177,0.0026301104,1.0251998901367188e-05,1279.449462890625,0.2,-1.3333974950015546,0.0003,3177.5386375427247,340,-1120.0516681425274,200.0
35,2588,71680,200.0,27,-1117.9357647299998,,,,,,,,,,,,,
36,2593,73728,200.0,28,-1107.2307311200002,0.0353515625,-0.0030169904028298335,0.9034563899040222,0.0043532094,1.0728836059570312e-05,1198.895263671875,0.2,-1.3220905043184756,0.0003,2307.290143203735,350,,
,,75000,,,,0.053759765625,-0.004008519764465745,0.889589786529541,0.0054004653,7.569789886474609e-06,1297.065185546875,0.2,-1.3076630704104901,0.0003,2794.962573623657,360,-923.7990119561553,200.0
37,2586,75776,200.0,29,-1095.09294202,,,,,,,,,,,,,
38,2590,77824,200.0,30,-1093.89038588,0.02197265625,-0.0015529373835306616,0.9001433849334717,0.003611942,6.616115570068359e-06,900.0411376953125,0.2,-1.3103085957467555,0.0003,2031.2597854614257,370,,
39,2593,79872,200.0,30,-1083.57648167,0.02919921875,-0.001927476296259556,0.9146493673324585,0.004085201,6.4373016357421875e-06,972.4048461914062,0.2,-1.321227127686143,0.0003,2550.9392570495606,380,,
,,80000,,,,0.02451171875,-0.0014403654036868828,0.9304399490356445,0.003449732,4.76837158203125e-06,1097.374267578125,0.2,-1.3369890339672565,0.0003,2433.9676628112793,390,-1119.686049919203,200.0
40,2586,81920,200.0,31,-1082.90034442,,,,,,,,,,,,,
41,2590,83968,200.0,32,-1066.12191418,0.01201171875,-0.0007344720725086518,0.9242690801620483,0.0012680911,4.172325134277344e-06,1144.0361328125,0.2,-1.3439567252993583,0.0003,2493.6276554107667,400,,
,,85000,,,,0.020458984375,-0.0022877296767546797,0.9092720746994019,0.003564102,4.172325134277344e-06,950.0274047851562,0.2,-1.3325696725398302,0.0003,1894.502825164795,410,-1037.5779952824116,200.0
42,2582,86016,200.0,33,-1075.96144548,,,,,,,,,,,,,
43,2587,88064,200.0,34,-1076.7137917200002,0.053857421875,-0.0035623054092866367,0.9040586948394775,0.0047558155,2.9206275939941406e-06,753.0968017578125,0.2,-1.3198843147605657,0.0003,2152.5605499267576,420,,
,,90000,,,,0.051416015625,-0.0034323345520533622,0.9079704284667969,0.0036630505,2.086162567138672e-06,741.928955078125,0.2,-1.320270113646984,0.0003,2038.0063358306884,430,-1039.346562628448,200.0
44,2581,90112,200.0,34,-1077.15385496,,,,,,,,,,,,,
45,2586,92160,200.0,35,-1080.5377776799999,0.035009765625,-0.003881046251626685,0.9115768671035767,0.0036126517,2.5033950805664062e-06,774.3825073242188,0.2,-1.3246662463992833,0.0003,1929.7529426574706,440,,
46,2591,94208,200.0,36,-1074.6711005,0.029541015625,-0.001726773622795008,0.9064422845840454,0.004509307,2.3245811462402344e-06,910.9842529296875,0.2,-1.3245375845581293,0.0003,2045.2252704620362,450,,
,,95000,,,,0.034619140625,-0.0021258643464534543,0.8850170373916626,0.00427532,2.5033950805664062e-06,713.2359008789062,0.2,-1.3087309908121825,0.0003,1547.097838973999,460,-873.8620244815945,200.0
47,2586,96256,200.0,37,-1072.41805511,,,,,,,,,,,,,
48,2591,98304,200.0,37,-1074.7934470300002,0.068505859375,-0.005591626919340342,0.8862452507019043,0.0062481724,2.7418136596679688e-06,732.8910522460938,0.2,-1.2957332395017147,0.0003,1296.4615514755249,470,,
,,100000,,,,0.042236328125,-0.002917140866338741,0.9073899388313293,0.005107905,2.1457672119140625e-06,816.3875732421875,0.2,-1.30998093187809,0.0003,1575.9038848876953,480,-909.7576239159331,200.0
49,2585,100352,200.0,38,-1066.41157268,,,,,,,,,,,,,
50,2589,102400,200.0,39,-1058.41942621,0.0421875,-0.0043498329818248745,0.8789036870002747,0.0042333216,1.7285346984863281e-06,630.8320922851562,0.2,-1.3047059707343578,0.0003,1409.2666063308716,490,,
51,2591,104448,200.0,40,-1046.7382115699997,0.0244140625,-0.002431591921776999,0.8600573539733887,0.0029240781,1.6093254089355469e-06,690.8154907226562,0.2,-1.2772428095340729,0.0003,1304.5859481811524,500,,
,,105000,,,,0.02890625,-0.0014279737937613391,0.8534550666809082,0.0027931887,1.6689300537109375e-06,440.5594177246094,0.2,-1.2633950915187597,0.0003,1070.7567525863647,510,-938.108665972203,200.0
52,2585,106496,200.0,41,-1045.78229287,,,,,,,,,,,,,
53,2588,108544,200.0,41,-1032.38077482,0.046484375,-0.004082925099646672,0.846196174621582,0.004364809,1.430511474609375e-06,515.9345703125,0.2,-1.25780414827168,0.0003,1078.2931507110595,520,,
,,110000,,,,0.018310546875,-0.0005618110721115954,0.8567943572998047,0.0039712014,1.4901161193847656e-06,575.925537109375,0.2,-1.2585628364235162,0.0003,1051.7790227890014,530,-978.0967573097907,200.0
54,2583,110592,200.0,42,-1027.21768711,,,,,,,,,,,,,
55,2586,112640,200.0,43,-1016.6157342800001,0.01591796875,-0.0010997176650562324,0.8597198128700256,0.0024305326,1.430511474609375e-06,489.8670654296875,0.2,-1.2667537253350019,0.0003,984.1425231933594,540,,
56,2588,114688,200.0,44,-1010.7539628,0.03681640625,-0.0017050841910531745,0.8639740347862244,0.004271319,2.1457672119140625e-06,324.9485778808594,0.2,-1.2693752024322749,0.0003,895.2230325698853,550,,
,,115000,,,,0.046044921875,-0.0013279539212817325,0.8550592660903931,0.005042857,2.205371856689453e-06,495.1808776855469,0.2,-1.2664780009537935,0.0003,1022.4588459014892,560,-908.2691584613174,200.0
57,2583,116736,200.0,45,-1008.2095694200001,,,,,,,,,,,,,
58,2586,118784,200.0,45,-991.9414566899999,0.039599609375,-0.002886403641605284,0.8523120284080505,0.0038291207,2.5033950805664062e-06,410.4327697753906,0.2,-1.26026711165905,0.0003,808.645783996582,570,,
,,120000,,,,0.0708984375,0.00020619304850697518,0.8523815274238586,0.005467045,2.205371856689453e-06,311.398681640625,0.2,-1.257803139463067,0.0003,621.281283569336,580,-929.3880592614412,200.0
59,2581,120832,200.0,46,-982.6524241200001,,,,,,,,,,,,,
