time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/explained_variance
19,226.52,2037,19,226.52,38912,0.17263571918010712,0.003602875,0.02861328125,-1.0469039645045997,180,1.4825211694289464,0.2,0.0010011082587880083,0.6976310014724731,0.0003,-0.03277122974395752
20,244.85,2039,20,244.85,40960,0.005225301254540682,0.004513434,0.049169921875,-1.0679662995040418,190,0.9849309685101616,0.2,-0.0005252694099908695,0.7130929231643677,0.0003,-0.043152689933776855
21,263.69,2036,21,263.69,43008,0.04744847118854523,0.005770851,0.038671875,-1.087706758081913,200,0.5856410876323934,0.2,4.22635130234994e-05,0.7238807678222656,0.0003,-0.007520198822021484
22,282.33,2030,22,282.33,45056,0.01897868514060974,0.0056397035,0.059130859375,-1.1133421208709477,210,0.3489047745530115,0.2,-0.0010168767519644461,0.7548143267631531,0.0003,-0.012280106544494629
23,300.76,2030,23,300.76,47104,-0.0071379393339157104,0.0068860007,0.0716796875,-1.1462547358125448,220,0.21249703715839133,0.2,-0.003860701937810518,0.7686967849731445,0.0003,0.02465301752090454
24,320.24,2022,24,320.24,49152,0.025574445724487305,0.0058702086,0.04384765625,-1.1671935424208641,230,0.12658983095479925,0.2,-0.0007361030366155319,0.7884482741355896,0.0003,-0.015754342079162598
25,338.51,2004,25,338.51,51200,46.351253509521484,0.0039205044,0.041796875,-1.1808373920619488,240,36.168743561487645,0.2,-0.00045797875500284133,0.7868756651878357,0.0003,0.0011007189750671387
26,356.1,2006,26,356.1,53248,-0.012423942796885967,0.0072225216,0.098779296875,-1.1808737721294165,250,0.07946835214097518,0.2,-0.0033580859810172113,0.7908079624176025,0.0003,-2.1640491485595703
27,374.3,2003,27,374.3,55296,-0.011344671249389648,0.007318495,0.09853515625,-1.1811320830136538,260,0.04344174057423515,0.2,-0.002498526172712445,0.7872850298881531,0.0003,-0.027015328407287598
28,392.32,2001,28,392.32,57344,-0.02412494458258152,0.0056774383,0.0623046875,-1.1957516241818666,270,0.026334626103562186,0.2,-0.002572732084081508,0.8130010366439819,0.0003,-0.04774463176727295
29,409.97,1997,29,409.97,59392,0.013142530806362629,0.0073066438,0.08974609375,-1.213346380367875,280,0.016316917175254277,0.2,-0.004131430626148358,0.8153398036956787,0.0003,0.04852890968322754
30,427.64,1985,30,427.64,61440,0.003252912312746048,0.004384539,0.04169921875,-1.2106482911854983,290,0.010301847856953827,0.2,0.0016508883178175892,0.8086358308792114,0.0003,-0.04962658882141113
31,445.72,1981,32,445.72,63488,-0.01731681264936924,0.009395249,0.112841796875,-1.2035867497324944,300,0.006707458316577685,0.2,-0.0041114935418590905,0.8037601709365845,0.0003,-0.037805795669555664
