rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/clip_range,train/approx_kl,train/loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
,,35000,,,,0.8727657198905945,0.2,0.0032342873,2684.2021484375,-0.003095004355418496,0.00015503168106079102,0.0003,0.033935546875,-1.2904965713620187,170,6075.86396484375,-1106.5669857487082,200.0
200.0,2699,36864,-1190.6108611500001,18,13,,,,,,,,,,,,,
200.0,2705,38912,-1186.02967464,19,14,0.864725649356842,0.2,0.002879869,2095.20947265625,-0.0019141261596814728,0.0001831650733947754,0.0003,0.01103515625,-1.2794634602963924,180,4923.878681945801,,
,,40000,,,,0.8689208626747131,0.2,0.0033124934,2050.755126953125,-0.002557294545840705,0.00011992454528808594,0.0003,0.018896484375,-1.2774939753115178,190,4537.107652282715,-1131.5136451184749,200.0
200.0,2687,40960,-1175.6937687399998,20,15,,,,,,,,,,,,,
200.0,2685,43008,-1184.58119794,21,16,0.8828625082969666,0.2,0.0038954164,2325.595703125,-0.001880607649218291,7.56382942199707e-05,0.0003,0.02119140625,-1.285120901837945,200,5362.50885925293,,
,,45000,,,,0.8925851583480835,0.2,0.004036043,2178.839599609375,-0.002650625957903685,5.424022674560547e-05,0.0003,0.0203125,-1.2989708736538887,210,5557.495701599121,-1109.8052433187142,200.0
200.0,2671,45056,-1179.48096413,22,16,,,,,,,,,,,,,
200.0,2678,47104,-1174.46548545,23,17,0.9074394702911377,0.2,0.0044274973,2162.255126953125,-0.005256151828507427,5.435943603515625e-05,0.0003,0.03154296875,-1.3132186986505985,220,5234.059227752686,,
200.0,2685,49152,-1148.7653079900003,24,18,0.8934831619262695,0.2,0.003358265,2054.68408203125,-0.0015240640277625062,5.9545040130615234e-05,0.0003,0.023828125,-1.3130604404956103,230,4485.727543640137,,
,,50000,,,,0.907347559928894,0.2,0.0034909304,1461.314208984375,-0.001605248192208819,6.020069122314453e-05,0.0003,0.026708984375,-1.3122695434838534,240,3162.5206035614015,-1178.1579863861202,200.0
200.0,2673,51200,-1132.88092993,25,19,,,,,,,,,,,,,
200.0,2679,53248,-1144.49870315,26,19,0.8947349190711975,0.2,0.0032160545,1338.4013671875,-0.0029143610066967086,3.743171691894531e-05,0.0003,0.02041015625,-1.3163060467690229,250,3602.6036628723145,,
